YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,91.45,16.48,1.07,46.9,101.48
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,94.17,16.06,1.09,54.0,101.45
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,95.32,15.85,1.12,60.4,101.42
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,95.11,15.85,1.09,67.9,101.38
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,94.88,15.86,1.03,73.7,101.39
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,94.62,15.84,1.0,77.9,101.47
2020,1,1,6,3.35,4.05,0.19,89.3,0.0,94.51,15.8,1.0,79.6,101.56
2020,1,1,7,81.3,107.35,0.33,79.89,0.0,89.66,17.2,1.48,78.3,101.67
2020,1,1,8,206.5,293.45,0.4,68.63,0.0,82.74,18.65,2.03,74.9,101.76
2020,1,1,9,345.12,467.73,0.47,58.82,0.04,76.75,20.89,1.9,70.3,101.82
2020,1,1,10,463.7,595.72,0.53,51.3,0.05,66.22,23.74,1.67,73.0,101.8
2020,1,1,11,590.72,659.03,0.62,47.19,0.05,62.82,25.04,1.2,77.9,101.7
2020,1,1,12,610.12,652.05,0.64,47.4,0.44,59.61,25.78,0.61,90.0,101.57
2020,1,1,13,554.38,576.67,0.64,51.87,0.17,57.84,26.02,0.13,128.7,101.46
2020,1,1,14,375.42,442.35,0.53,59.64,0.02,57.78,25.86,0.3,273.8,101.4
2020,1,1,15,225.57,265.0,0.46,69.61,0.01,60.4,25.32,0.38,296.6,101.39
2020,1,1,16,83.8,91.18,0.36,80.59,0.0,67.68,24.16,0.29,337.8,101.42
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,67.28,22.42,0.54,27.5,101.47
2020,1,1,18,0.0,0.0,-999.0,90.0,0.02,72.63,21.11,0.78,51.2,101.55
2020,1,1,19,0.0,0.0,-999.0,90.0,0.02,76.49,20.08,0.94,68.1,101.63
2020,1,1,20,0.0,0.0,-999.0,90.0,0.01,79.52,19.23,1.02,79.8,101.68
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,81.84,18.63,1.03,82.7,101.72
2020,1,1,22,0.0,0.0,-999.0,90.0,0.01,83.86,18.24,1.01,74.4,101.72
2020,1,1,23,0.0,0.0,-999.0,90.0,0.01,87.49,17.65,1.0,61.4,101.7
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,92.56,16.8,1.03,54.9,101.67
2020,1,2,1,0.0,0.0,-999.0,90.0,0.1,96.91,16.06,1.06,53.5,101.64
2020,1,2,2,0.0,0.0,-999.0,90.0,0.12,99.63,15.52,1.08,51.8,101.6
2020,1,2,3,0.0,0.0,-999.0,90.0,0.17,100.0,15.08,1.09,50.6,101.58
2020,1,2,4,0.0,0.0,-999.0,90.0,0.2,100.0,14.88,1.09,53.5,101.59
2020,1,2,5,0.0,0.0,-999.0,90.0,0.18,100.0,14.75,1.12,58.9,101.64
2020,1,2,6,3.05,3.85,0.18,89.32,0.16,100.0,14.58,1.11,65.5,101.71
2020,1,2,7,83.75,100.47,0.34,79.94,0.13,93.84,16.63,1.33,74.7,101.78
2020,1,2,8,222.8,284.62,0.44,68.66,0.02,87.6,18.42,1.53,82.5,101.85
2020,1,2,9,361.75,458.65,0.5,58.82,0.01,79.65,20.87,1.28,76.0,101.89
2020,1,2,10,259.17,587.17,0.29,51.27,0.06,68.27,23.74,1.67,75.5,101.83
2020,1,2,11,253.35,664.03,0.26,47.13,0.2,65.28,24.96,1.47,63.3,101.73
2020,1,2,12,383.8,660.9,0.4,47.3,0.0,63.74,25.55,1.32,36.7,101.62
2020,1,2,13,201.73,587.65,0.23,51.74,0.0,64.22,25.6,1.37,19.2,101.51
2020,1,2,14,227.68,453.77,0.32,59.5,0.01,65.97,25.47,1.31,6.6,101.46
2020,1,2,15,143.2,276.27,0.29,69.48,0.0,69.29,24.99,1.09,8.4,101.45
2020,1,2,16,47.25,96.9,0.2,80.42,0.0,80.13,23.54,0.73,26.9,101.47
2020,1,2,17,0.0,0.0,-999.0,90.0,0.0,78.65,21.94,0.88,47.3,101.51
2020,1,2,18,0.0,0.0,-999.0,90.0,0.0,78.96,21.41,0.87,59.0,101.58
2020,1,2,19,0.0,0.0,-999.0,90.0,0.0,80.41,20.91,0.85,65.8,101.62
2020,1,2,20,0.0,0.0,-999.0,90.0,0.0,83.03,20.14,0.9,75.8,101.62
2020,1,2,21,0.0,0.0,-999.0,90.0,0.0,85.42,19.67,0.84,74.8,101.63
2020,1,2,22,0.0,0.0,-999.0,90.0,0.0,88.26,19.14,0.84,63.1,101.61
2020,1,2,23,0.0,0.0,-999.0,90.0,0.0,93.65,18.21,0.93,53.7,101.55
2020,1,3,0,0.0,0.0,-999.0,90.0,0.0,98.29,17.47,0.98,56.6,101.47
2020,1,3,1,0.0,0.0,-999.0,90.0,0.0,100.0,17.18,0.93,67.3,101.44
2020,1,3,2,0.0,0.0,-999.0,90.0,0.02,100.0,16.87,0.87,68.4,101.41
2020,1,3,3,0.0,0.0,-999.0,90.0,0.28,100.0,16.63,0.85,72.2,101.37
2020,1,3,4,0.0,0.0,-999.0,90.0,2.57,98.7,17.15,0.7,89.2,101.44
2020,1,3,5,0.0,0.0,-999.0,90.0,6.38,97.11,17.38,0.67,98.6,101.52
2020,1,3,6,1.5,3.55,0.09,89.34,25.81,100.0,16.61,0.88,90.0,101.54
2020,1,3,7,27.83,88.7,0.11,79.98,49.93,97.05,17.94,0.78,84.9,101.62
