YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,100.0,14.96,0.58,80.1,96.85
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,100.0,14.78,0.54,79.3,96.82
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,100.0,14.59,0.44,78.2,96.78
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,99.51,14.45,0.36,80.3,96.75
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,97.48,14.24,0.31,86.3,96.77
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,96.23,14.04,0.27,94.2,96.83
2020,1,1,6,4.07,6.0,0.16,88.99,0.0,95.1,13.85,0.2,98.5,96.94
2020,1,1,7,74.88,120.07,0.28,79.1,0.0,88.83,15.0,0.04,90.0,97.04
2020,1,1,8,189.73,310.08,0.36,67.92,0.01,76.3,17.56,0.0,180.0,97.15
2020,1,1,9,290.23,482.1,0.39,58.23,5.32,73.33,19.9,0.0,180.0,97.22
2020,1,1,10,429.92,605.8,0.48,50.91,9.61,73.94,21.41,0.0,180.0,97.22
2020,1,1,11,431.45,663.97,0.45,47.07,11.5,73.64,22.18,0.0,180.0,97.13
2020,1,1,12,428.58,649.62,0.45,47.57,10.08,74.0,22.46,0.0,180.0,97.02
2020,1,1,13,341.0,569.95,0.4,52.29,6.12,74.45,22.47,0.0,180.0,96.92
2020,1,1,14,261.3,432.27,0.37,60.25,3.26,74.84,22.3,0.0,180.0,96.86
2020,1,1,15,153.73,253.25,0.32,70.33,1.8,78.82,21.78,0.0,180.0,96.85
2020,1,1,16,57.6,78.47,0.28,81.56,0.65,88.85,20.82,0.04,180.0,96.87
2020,1,1,17,0.0,0.0,-999.0,90.0,0.25,89.12,19.92,0.3,152.6,96.93
2020,1,1,18,0.0,0.0,-999.0,90.0,0.2,91.38,18.95,0.55,116.1,97.01
2020,1,1,19,0.0,0.0,-999.0,90.0,0.16,97.75,17.59,0.66,106.8,97.07
2020,1,1,20,0.0,0.0,-999.0,90.0,0.14,100.0,16.48,0.57,105.3,97.12
2020,1,1,21,0.0,0.0,-999.0,90.0,0.21,100.0,15.87,0.51,102.4,97.13
2020,1,1,22,0.0,0.0,-999.0,90.0,0.42,100.0,15.4,0.48,99.7,97.12
2020,1,1,23,0.0,0.0,-999.0,90.0,0.24,100.0,15.03,0.44,97.8,97.08
2020,1,2,0,0.0,0.0,-999.0,90.0,0.09,100.0,14.78,0.46,92.5,97.05
2020,1,2,1,0.0,0.0,-999.0,90.0,0.07,100.0,14.51,0.47,88.8,97.02
2020,1,2,2,0.0,0.0,-999.0,90.0,0.05,100.0,14.11,0.4,87.1,96.98
2020,1,2,3,0.0,0.0,-999.0,90.0,0.09,100.0,13.77,0.3,88.1,96.96
2020,1,2,4,0.0,0.0,-999.0,90.0,0.16,100.0,13.6,0.18,93.2,96.98
