YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.08,93.9,19.56,2.52,119.5,91.94
2020,1,1,1,0.0,0.0,-999.0,90.0,0.09,94.42,19.35,2.4,119.4,91.87
2020,1,1,2,0.0,0.0,-999.0,90.0,0.08,94.24,19.13,2.43,118.8,91.82
2020,1,1,3,0.0,0.0,-999.0,90.0,0.06,92.39,18.89,2.87,115.8,91.82
2020,1,1,4,0.0,0.0,-999.0,90.0,0.05,92.79,18.62,2.7,112.9,91.86
2020,1,1,5,0.0,0.0,-999.0,90.0,0.04,93.93,18.32,2.31,107.7,91.92
2020,1,1,6,20.52,23.5,0.22,86.22,0.04,93.53,18.3,2.35,100.5,92.03
2020,1,1,7,138.93,176.57,0.35,73.58,0.03,83.98,19.64,3.15,97.7,92.16
2020,1,1,8,265.35,376.98,0.39,61.21,0.01,70.31,21.77,3.42,99.6,92.25
2020,1,1,9,414.05,561.65,0.46,50.07,0.01,58.6,24.23,3.48,102.8,92.25
2020,1,1,10,464.48,683.67,0.44,41.17,0.01,50.05,26.64,3.38,103.5,92.19
2020,1,1,11,460.12,805.38,0.41,36.24,0.02,45.0,28.38,3.15,102.8,92.1
2020,1,1,12,421.27,793.78,0.37,36.9,0.04,43.14,29.22,2.9,104.0,91.98
2020,1,1,13,348.42,707.25,0.34,42.9,0.08,43.37,29.42,2.63,107.1,91.86
2020,1,1,14,364.38,553.0,0.42,52.42,0.08,45.18,28.95,2.36,111.7,91.79
2020,1,1,15,222.23,342.5,0.36,63.91,0.06,47.91,28.2,2.38,113.8,91.78
2020,1,1,16,104.93,135.98,0.32,76.47,0.06,54.2,26.74,2.26,112.4,91.84
2020,1,1,17,9.77,10.52,0.21,88.14,0.08,70.02,24.23,1.31,110.1,91.92
2020,1,1,18,0.0,0.0,-999.0,90.0,0.08,76.06,23.08,1.71,106.3,92.03
2020,1,1,19,0.0,0.0,-999.0,90.0,0.07,81.9,22.23,1.96,103.9,92.12
2020,1,1,20,0.0,0.0,-999.0,90.0,0.06,86.92,21.63,1.99,104.9,92.18
2020,1,1,21,0.0,0.0,-999.0,90.0,0.05,90.06,21.26,1.8,111.9,92.18
2020,1,1,22,0.0,0.0,-999.0,90.0,0.04,92.05,20.99,1.61,116.9,92.14
2020,1,1,23,0.0,0.0,-999.0,90.0,0.01,93.26,20.75,1.64,121.6,92.09
2020,1,2,0,0.0,0.0,-999.0,90.0,0.01,93.81,20.52,1.92,123.8,92.04
2020,1,2,1,0.0,0.0,-999.0,90.0,0.01,94.4,20.23,1.94,123.2,91.97
2020,1,2,2,0.0,0.0,-999.0,90.0,0.01,94.93,19.87,1.81,121.0,91.94
2020,1,2,3,0.0,0.0,-999.0,90.0,0.01,95.35,19.5,1.8,118.6,91.95
2020,1,2,4,0.0,0.0,-999.0,90.0,0.01,96.25,19.11,1.59,117.7,92.01
2020,1,2,5,0.0,0.0,-999.0,90.0,0.01,97.35,18.7,1.32,118.9,92.09
2020,1,2,6,21.5,29.45,0.24,86.28,0.01,94.99,18.9,1.81,121.0,92.2
2020,1,2,7,136.8,219.18,0.35,73.65,0.0,81.8,20.75,2.75,123.9,92.29
2020,1,2,8,256.77,437.27,0.38,61.26,0.0,65.64,23.45,3.04,129.0,92.35
2020,1,2,9,426.92,618.7,0.47,50.09,0.0,53.43,26.14,3.23,134.6,92.33
2020,1,2,10,487.8,709.7,0.46,41.16,0.0,47.61,28.04,3.23,139.1,92.26
2020,1,2,11,609.17,801.35,0.54,36.18,0.0,44.51,29.19,3.15,144.5,92.14
2020,1,2,12,670.33,790.58,0.59,36.79,0.0,42.64,29.84,3.08,150.6,92.02
2020,1,2,13,580.22,715.58,0.56,42.77,0.0,42.01,29.94,2.91,157.4,91.92
2020,1,2,14,417.55,573.55,0.49,52.29,0.0,43.26,29.41,2.68,161.1,91.88
2020,1,2,15,274.73,379.02,0.44,63.78,0.0,45.69,28.51,2.55,155.6,91.89
2020,1,2,16,134.55,165.1,0.4,76.34,0.0,50.5,27.3,2.24,147.4,91.94
2020,1,2,17,11.62,12.6,0.24,88.07,0.0,67.46,24.58,1.18,138.4,92.02
2020,1,2,18,0.0,0.0,-999.0,90.0,0.0,71.86,23.38,1.48,132.0,92.1
2020,1,2,19,0.0,0.0,-999.0,90.0,0.0,74.29,22.73,2.09,128.8,92.18
2020,1,2,20,0.0,0.0,-999.0,90.0,0.0,79.09,21.96,2.74,127.9,92.21
2020,1,2,21,0.0,0.0,-999.0,90.0,0.0,86.35,20.94,2.75,128.7,92.2
2020,1,2,22,0.0,0.0,-999.0,90.0,0.0,93.31,20.06,2.4,128.9,92.17
2020,1,2,23,0.0,0.0,-999.0,90.0,0.0,96.02,19.75,2.07,129.5,92.12
2020,1,3,0,0.0,0.0,-999.0,90.0,0.0,96.97,19.58,1.68,132.3,92.06
2020,1,3,1,0.0,0.0,-999.0,90.0,0.0,98.09,19.31,1.24,135.0,92.0
2020,1,3,2,0.0,0.0,-999.0,90.0,0.0,99.13,19.05,1.09,137.2,91.96
2020,1,3,3,0.0,0.0,-999.0,90.0,0.0,100.0,18.81,1.02,139.0,91.96
2020,1,3,4,0.0,0.0,-999.0,90.0,0.0,100.0,18.62,1.03,141.7,91.99
2020,1,3,5,0.0,0.0,-999.0,90.0,0.0,100.0,18.42,1.04,143.6,92.07
2020,1,3,6,22.52,23.83,0.25,86.34,0.0,97.55,18.93,1.6,144.9,92.15
2020,1,3,7,169.05,174.88,0.43,73.72,0.0,84.14,21.01,2.68,150.0,92.23
2020,1,3,8,365.62,371.98,0.54,61.31,0.0,68.99,23.82,2.81,155.4,92.28
2020,1,3,9,548.08,558.9,0.61,50.11,0.0,56.76,26.52,2.66,154.9,92.26
2020,1,3,10,647.45,712.62,0.61,41.14,0.0,48.58,28.48,2.44,153.2,92.19
2020,1,3,11,812.05,834.28,0.71,36.11,0.0,43.18,29.8,2.28,156.5,92.07
2020,1,3,12,783.67,824.15,0.69,36.68,0.0,40.07,30.48,2.24,162.9,91.93
2020,1,3,13,644.95,740.05,0.62,42.63,0.0,38.58,30.84,2.27,168.6,91.82
2020,1,3,14,492.42,587.92,0.57,52.15,0.0,38.33,30.69,2.3,174.0,91.75
2020,1,3,15,312.92,385.17,0.5,63.64,0.0,39.41,29.95,2.25,175.9,91.76
2020,1,3,16,138.55,165.82,0.41,76.21,0.0,44.64,28.48,1.82,174.6,91.8
2020,1,3,17,11.57,13.0,0.24,88.0,0.0,64.68,25.48,0.91,170.5,91.87
2020,1,3,18,0.0,0.0,-999.0,90.0,0.0,68.89,24.23,1.02,161.2,91.94
2020,1,3,19,0.0,0.0,-999.0,90.0,0.0,71.72,23.42,1.21,151.3,92.01
2020,1,3,20,0.0,0.0,-999.0,90.0,0.0,74.99,22.76,1.59,143.4,92.05
2020,1,3,21,0.0,0.0,-999.0,90.0,0.0,79.31,22.15,2.23,141.0,92.07
2020,1,3,22,0.0,0.0,-999.0,90.0,0.0,84.86,21.47,2.48,142.2,92.03
2020,1,3,23,0.0,0.0,-999.0,90.0,0.0,89.75,20.86,2.4,145.8,91.98
2020,1,4,0,0.0,0.0,-999.0,90.0,0.0,93.13,20.48,2.28,151.2,91.91
2020,1,4,1,0.0,0.0,-999.0,90.0,0.0,95.24,20.22,1.99,157.2,91.84
2020,1,4,2,0.0,0.0,-999.0,90.0,0.0,97.06,19.93,1.51,163.8,91.81
2020,1,4,3,0.0,0.0,-999.0,90.0,0.0,98.2,19.69,1.19,169.8,91.82
2020,1,4,4,0.0,0.0,-999.0,90.0,0.0,99.46,19.41,0.97,174.1,91.86
2020,1,4,5,0.0,0.0,-999.0,90.0,0.0,100.0,19.2,0.84,175.9,91.94
2020,1,4,6,20.27,24.98,0.23,86.4,0.0,97.4,19.7,1.11,176.9,92.01
2020,1,4,7,154.45,200.62,0.39,73.78,0.0,86.0,21.85,1.9,184.5,92.08
2020,1,4,8,312.42,416.42,0.46,61.36,0.0,71.63,24.47,1.97,198.3,92.11
2020,1,4,9,502.1,605.12,0.56,50.13,0.0,59.31,26.67,1.83,207.7,92.08
2020,1,4,10,697.58,740.72,0.66,41.11,0.0,51.45,28.25,1.75,213.3,92.01
2020,1,4,11,685.08,800.35,0.6,36.03,0.0,46.4,29.43,1.74,218.9,91.89
2020,1,4,12,700.67,789.88,0.62,36.56,0.0,43.26,30.22,1.72,225.2,91.75
2020,1,4,13,649.9,705.6,0.63,42.49,0.0,41.64,30.59,1.69,232.5,91.64
2020,1,4,14,527.4,556.6,0.61,52.0,0.0,41.23,30.46,1.51,238.0,91.59
2020,1,4,15,335.23,358.58,0.53,63.5,0.0,42.0,29.88,1.2,235.9,91.58
2020,1,4,16,147.38,154.27,0.44,76.08,0.0,46.45,28.74,0.7,218.7,91.61
2020,1,4,17,12.48,13.15,0.25,87.93,0.0,59.31,26.89,0.36,159.1,91.68
2020,1,4,18,0.0,0.0,-999.0,90.0,0.0,67.98,25.36,0.57,111.6,91.76
2020,1,4,19,0.0,0.0,-999.0,90.0,0.0,72.25,24.19,0.76,93.8,91.85
2020,1,4,20,0.0,0.0,-999.0,90.0,0.0,73.96,23.41,1.03,90.0,91.92
2020,1,4,21,0.0,0.0,-999.0,90.0,0.0,77.27,22.66,1.31,92.6,91.95
2020,1,4,22,0.0,0.0,-999.0,90.0,0.0,81.69,22.02,1.62,101.0,91.94
2020,1,4,23,0.0,0.0,-999.0,90.0,0.0,87.14,21.38,1.8,114.0,91.9
2020,1,5,0,0.0,0.0,-999.0,90.0,0.0,91.61,20.93,1.87,127.2,91.82
2020,1,5,1,0.0,0.0,-999.0,90.0,0.0,95.08,20.56,1.65,136.0,91.75
2020,1,5,2,0.0,0.0,-999.0,90.0,0.0,97.16,20.26,1.14,139.6,91.68
2020,1,5,3,0.0,0.0,-999.0,90.0,0.0,98.25,20.06,0.7,136.7,91.7
2020,1,5,4,0.0,0.0,-999.0,90.0,0.0,99.34,19.84,0.46,127.1,91.75
2020,1,5,5,0.0,0.0,-999.0,90.0,0.0,99.84,19.69,0.42,114.1,91.82
2020,1,5,6,20.83,21.12,0.24,86.45,0.0,97.29,20.07,0.61,113.2,91.89
2020,1,5,7,145.4,154.27,0.37,73.84,0.0,85.53,22.15,1.7,125.2,91.96
2020,1,5,8,330.48,354.58,0.49,61.39,0.0,72.94,24.3,2.19,132.2,92.0
2020,1,5,9,462.77,520.58,0.51,50.14,0.0,61.66,26.35,2.11,126.7,92.0
2020,1,5,10,569.1,669.7,0.54,41.08,0.0,54.14,28.01,1.91,119.1,91.96
2020,1,5,11,753.12,819.0,0.66,35.94,0.0,48.05,29.49,1.71,119.9,91.86
2020,1,5,12,736.83,810.83,0.65,36.43,0.01,43.83,30.46,1.57,122.3,91.73
2020,1,5,13,628.55,743.03,0.6,42.34,0.01,41.59,30.86,1.59,119.5,91.63
2020,1,5,14,512.58,593.0,0.59,51.86,0.0,41.47,30.64,1.99,111.8,91.59
2020,1,5,15,334.52,389.7,0.53,63.36,0.0,44.6,29.47,2.51,105.3,91.6
2020,1,5,16,158.9,178.52,0.46,75.94,0.0,51.89,27.54,2.79,100.5,91.67
2020,1,5,17,14.18,14.8,0.27,87.86,0.0,63.27,25.23,2.62,96.1,91.75
2020,1,5,18,0.0,0.0,-999.0,90.0,0.0,71.72,23.74,2.96,89.2,91.86
2020,1,5,19,0.0,0.0,-999.0,90.0,0.0,78.08,22.81,2.87,82.4,91.95
2020,1,5,20,0.0,0.0,-999.0,90.0,0.0,82.13,22.26,2.62,79.0,92.0
2020,1,5,21,0.0,0.0,-999.0,90.0,0.0,85.12,21.88,2.37,75.3,92.01
2020,1,5,22,0.0,0.0,-999.0,90.0,0.0,87.45,21.58,2.15,71.3,91.99
2020,1,5,23,0.0,0.0,-999.0,90.0,0.0,88.95,21.39,2.01,72.0,91.95
2020,1,6,0,0.0,0.0,-999.0,90.0,0.0,90.05,21.23,1.91,78.8,91.88
2020,1,6,1,0.0,0.0,-999.0,90.0,0.0,91.05,21.04,1.83,89.1,91.82
2020,1,6,2,0.0,0.0,-999.0,90.0,0.0,92.64,20.69,1.64,92.4,91.79
2020,1,6,3,0.0,0.0,-999.0,90.0,0.0,93.15,20.47,1.85,98.1,91.82
2020,1,6,4,0.0,0.0,-999.0,90.0,0.0,93.36,20.26,2.07,106.9,91.9
2020,1,6,5,0.0,0.0,-999.0,90.0,0.0,93.42,19.97,2.2,113.0,92.0
2020,1,6,6,18.95,24.88,0.22,86.5,0.0,92.78,19.86,2.52,115.1,92.11
2020,1,6,7,144.6,198.3,0.37,73.89,0.0,81.42,21.37,3.66,112.0,92.21
2020,1,6,8,299.48,414.1,0.44,61.43,0.22,69.0,23.56,3.94,109.4,92.25
2020,1,6,9,415.27,606.7,0.46,50.14,0.22,59.18,25.68,3.98,105.4,92.23
2020,1,6,10,490.5,744.0,0.46,41.04,0.27,51.89,27.53,4.08,101.8,92.17
2020,1,6,11,574.2,838.55,0.5,35.85,0.32,46.45,29.0,4.16,101.4,92.05
2020,1,6,12,549.78,828.95,0.48,36.29,0.34,42.9,29.87,4.19,102.8,91.91
2020,1,6,13,488.85,743.72,0.47,42.19,0.33,41.68,30.03,4.16,105.5,91.81
2020,1,6,14,419.83,585.62,0.48,51.71,0.22,42.04,29.76,4.07,107.1,91.78
2020,1,6,15,259.08,371.55,0.41,63.22,0.1,43.76,28.98,4.0,107.3,91.81
2020,1,6,16,118.2,152.93,0.34,75.81,0.09,49.38,27.27,3.84,109.1,91.86
2020,1,6,17,11.68,13.5,0.21,87.78,0.12,61.15,24.71,3.14,111.5,91.94
2020,1,6,18,0.0,0.0,-999.0,90.0,0.18,69.83,23.2,3.68,110.8,92.03
2020,1,6,19,0.0,0.0,-999.0,90.0,0.18,77.21,22.12,3.86,108.9,92.12
2020,1,6,20,0.0,0.0,-999.0,90.0,0.14,83.34,21.2,3.62,108.3,92.17
2020,1,6,21,0.0,0.0,-999.0,90.0,0.1,88.08,20.41,3.38,109.3,92.16
2020,1,6,22,0.0,0.0,-999.0,90.0,0.09,91.14,19.84,3.15,111.2,92.12
