YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.11,95.12,10.94,2.92,102.8,96.12
2020,1,1,1,0.0,0.0,-999.0,90.0,0.22,96.21,10.87,2.6,105.2,96.06
2020,1,1,2,0.0,0.0,-999.0,90.0,0.36,96.59,10.88,2.37,105.4,96.03
2020,1,1,3,0.0,0.0,-999.0,90.0,0.66,96.78,10.85,2.22,102.5,96.02
2020,1,1,4,0.0,0.0,-999.0,90.0,1.36,97.18,10.74,2.13,104.9,96.07
2020,1,1,5,0.0,0.0,-999.0,90.0,1.45,96.94,10.77,2.23,101.4,96.15
2020,1,1,6,3.42,4.3,0.14,88.99,1.06,96.88,10.76,2.28,99.1,96.25
2020,1,1,7,49.4,80.35,0.19,79.1,0.72,94.8,11.32,2.75,98.6,96.35
2020,1,1,8,135.07,228.07,0.26,67.92,2.48,92.02,12.34,2.84,98.7,96.43
2020,1,1,9,220.15,380.3,0.3,58.23,1.46,87.41,13.88,2.96,98.2,96.48
2020,1,1,10,316.88,491.02,0.36,50.91,1.26,82.64,15.33,2.86,100.9,96.44
2020,1,1,11,377.05,494.27,0.39,47.07,1.09,78.3,16.67,2.59,100.9,96.36
2020,1,1,12,365.12,446.58,0.38,47.57,1.35,75.14,17.72,2.25,94.6,96.25
2020,1,1,13,246.73,366.52,0.29,52.29,1.58,73.53,18.35,2.07,80.5,96.17
2020,1,1,14,168.38,241.7,0.24,60.24,1.94,73.91,18.45,2.17,66.0,96.13
2020,1,1,15,93.65,126.43,0.2,70.33,1.82,76.94,17.9,2.35,54.7,96.12
2020,1,1,16,31.65,39.47,0.15,81.56,2.48,84.79,16.42,2.39,45.0,96.17
2020,1,1,17,0.0,0.0,-999.0,90.0,2.57,89.76,14.93,3.37,43.3,96.25
2020,1,1,18,0.0,0.0,-999.0,90.0,2.49,92.32,13.88,4.04,45.1,96.35
