YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,95.62,12.09,1.19,61.3,101.03
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,95.77,11.58,1.22,59.4,100.97
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,95.22,11.15,1.23,56.6,100.92
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,94.08,10.8,1.21,51.7,100.88
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,93.14,10.51,1.17,45.3,100.89
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,92.51,10.29,1.16,37.3,100.95
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,92.16,10.11,1.18,28.3,101.04
2020,1,1,7,61.9,62.0,0.37,83.25,0.0,88.63,11.6,1.43,20.8,101.16
2020,1,1,8,254.07,254.43,0.56,71.27,0.0,76.08,14.31,2.51,17.9,101.26
2020,1,1,9,449.92,450.38,0.65,60.42,0.05,71.49,16.7,2.26,20.2,101.32
2020,1,1,10,607.47,607.92,0.69,51.45,0.04,60.38,20.04,2.41,52.1,101.31
2020,1,1,11,702.33,705.03,0.71,45.49,0.04,59.76,21.66,2.3,62.5,101.22
2020,1,1,12,679.35,679.8,0.67,43.79,0.05,60.55,22.56,2.19,65.2,101.1
2020,1,1,13,630.92,632.47,0.66,46.84,0.02,61.13,23.04,2.16,64.5,100.97
2020,1,1,14,517.72,523.08,0.62,53.81,0.01,62.09,23.06,2.17,62.6,100.9
2020,1,1,15,353.23,360.52,0.56,63.43,0.0,64.69,22.65,2.04,63.6,100.88
2020,1,1,16,171.73,173.57,0.46,74.68,0.0,71.95,21.57,1.51,68.2,100.9
2020,1,1,17,22.73,23.3,0.26,86.49,0.0,85.44,18.73,0.95,75.4,100.94
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,86.05,17.16,1.04,79.4,101.03
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,87.53,16.42,1.05,79.5,101.13
2020,1,1,20,0.0,0.0,-999.0,90.0,0.11,88.53,15.8,1.04,77.8,101.2
2020,1,1,21,0.0,0.0,-999.0,90.0,0.16,89.4,15.7,0.99,70.5,101.23
2020,1,1,22,0.0,0.0,-999.0,90.0,0.21,90.05,15.51,0.95,57.5,101.24
2020,1,1,23,0.0,0.0,-999.0,90.0,0.52,91.26,15.19,0.98,43.3,101.23
2020,1,2,0,0.0,0.0,-999.0,90.0,1.38,92.1,14.82,1.07,33.5,101.21
2020,1,2,1,0.0,0.0,-999.0,90.0,2.33,92.22,14.52,1.2,27.2,101.18
2020,1,2,2,0.0,0.0,-999.0,90.0,3.32,91.55,14.33,1.34,23.3,101.13
2020,1,2,3,0.0,0.0,-999.0,90.0,4.62,91.31,14.13,1.34,24.7,101.1
2020,1,2,4,0.0,0.0,-999.0,90.0,2.67,91.55,13.8,1.26,31.7,101.08
2020,1,2,5,0.0,0.0,-999.0,90.0,0.41,92.17,13.44,1.19,40.9,101.1
2020,1,2,6,0.0,0.0,-999.0,90.0,0.08,93.02,13.08,1.09,49.5,101.15
2020,1,2,7,54.12,57.67,0.33,83.32,0.01,91.36,14.04,1.34,60.6,101.22
2020,1,2,8,220.68,240.8,0.49,71.32,0.0,84.99,15.79,1.76,75.2,101.29
2020,1,2,9,395.48,431.67,0.57,60.45,0.0,76.2,18.48,1.7,89.7,101.38
2020,1,2,10,545.33,585.05,0.62,51.44,0.0,67.8,20.96,2.02,101.7,101.39
2020,1,2,11,604.22,679.95,0.61,45.44,0.0,67.45,22.22,1.99,104.9,101.3
2020,1,2,12,490.33,629.42,0.48,43.71,0.0,67.84,23.16,2.16,109.4,101.13
2020,1,2,13,306.92,589.35,0.32,46.72,0.0,68.31,23.77,2.6,114.1,100.94
2020,1,2,14,308.58,484.83,0.37,53.68,0.0,69.49,23.95,2.66,116.9,100.83
2020,1,2,15,204.1,330.8,0.32,63.3,0.0,71.52,23.78,2.02,109.3,100.85
2020,1,2,16,99.35,156.25,0.26,74.54,0.02,78.49,22.75,1.4,97.8,100.88
2020,1,2,17,13.18,21.65,0.15,86.39,0.07,89.75,20.93,0.88,87.4,100.92
2020,1,2,18,0.0,0.0,-999.0,90.0,0.14,92.11,19.88,1.02,79.8,100.99
2020,1,2,19,0.0,0.0,-999.0,90.0,0.23,92.83,19.35,1.33,76.5,101.05
2020,1,2,20,0.0,0.0,-999.0,90.0,0.33,93.41,18.9,1.59,74.0,101.11
2020,1,2,21,0.0,0.0,-999.0,90.0,0.51,93.89,18.48,1.76,72.8,101.14
2020,1,2,22,0.0,0.0,-999.0,90.0,0.7,94.54,18.02,1.78,70.6,101.13
2020,1,2,23,0.0,0.0,-999.0,90.0,0.81,94.97,17.6,1.77,68.8,101.09
2020,1,3,0,0.0,0.0,-999.0,90.0,0.86,95.24,17.21,1.83,67.9,101.03
2020,1,3,1,0.0,0.0,-999.0,90.0,0.89,95.44,16.85,1.91,65.9,100.94
2020,1,3,2,0.0,0.0,-999.0,90.0,0.79,95.68,16.52,2.04,65.1,100.86
2020,1,3,3,0.0,0.0,-999.0,90.0,0.64,96.03,16.21,2.14,66.0,100.77
2020,1,3,4,0.0,0.0,-999.0,90.0,0.72,96.62,15.91,1.96,62.6,100.74
2020,1,3,5,0.0,0.0,-999.0,90.0,0.7,96.48,15.84,2.09,62.1,100.79
2020,1,3,6,0.0,0.0,-999.0,90.0,0.75,96.59,15.79,2.12,64.5,100.86
2020,1,3,7,20.38,50.45,0.13,83.38,0.92,95.33,16.24,2.31,64.7,100.96
2020,1,3,8,76.75,213.43,0.17,71.36,0.92,93.77,16.95,2.29,60.8,101.04
2020,1,3,9,134.07,392.5,0.19,60.46,16.3,92.58,17.51,2.44,42.5,101.12
2020,1,3,10,60.83,542.67,0.07,51.43,7.07,90.14,18.25,3.33,32.4,101.14
2020,1,3,11,86.57,638.08,0.09,45.39,4.21,86.17,19.06,4.33,37.1,101.04
2020,1,3,12,118.5,664.38,0.12,43.61,5.28,82.93,19.49,4.75,41.8,100.9
2020,1,3,13,83.93,624.08,0.09,46.59,7.76,81.99,19.41,4.82,41.8,100.8
2020,1,3,14,81.45,516.38,0.1,53.54,11.37,82.27,19.0,4.8,38.8,100.76
2020,1,3,15,85.03,358.85,0.13,63.16,17.15,84.5,18.33,4.3,40.1,100.76
2020,1,3,16,35.45,174.82,0.09,74.4,20.88,88.32,17.67,3.28,48.6,100.76
2020,1,3,17,6.25,24.8,0.07,86.29,17.54,93.92,16.8,2.14,60.7,100.78
2020,1,3,18,0.0,0.0,-999.0,90.0,12.55,96.07,16.25,1.94,73.2,100.8
2020,1,3,19,0.0,0.0,-999.0,90.0,11.26,96.76,16.06,1.71,82.6,100.85
2020,1,3,20,0.0,0.0,-999.0,90.0,10.66,97.03,15.94,1.36,89.6,100.9
2020,1,3,21,0.0,0.0,-999.0,90.0,9.6,97.14,15.84,1.28,90.0,100.92
2020,1,3,22,0.0,0.0,-999.0,90.0,7.47,97.14,15.72,1.28,83.3,100.89
2020,1,3,23,0.0,0.0,-999.0,90.0,4.98,97.44,15.55,1.16,73.4,100.84
2020,1,4,0,0.0,0.0,-999.0,90.0,2.81,97.58,15.42,0.99,59.5,100.81
2020,1,4,1,0.0,0.0,-999.0,90.0,1.64,97.49,15.34,0.93,44.6,100.76
2020,1,4,2,0.0,0.0,-999.0,90.0,1.09,97.36,15.28,0.92,31.3,100.72
2020,1,4,3,0.0,0.0,-999.0,90.0,0.99,97.07,15.25,0.9,19.4,100.7
2020,1,4,4,0.0,0.0,-999.0,90.0,0.89,96.95,15.21,0.9,19.4,100.7
2020,1,4,5,0.0,0.0,-999.0,90.0,1.28,96.98,15.15,0.89,28.0,100.73
2020,1,4,6,0.0,0.0,-999.0,90.0,3.61,97.05,15.12,0.91,26.0,100.79
2020,1,4,7,25.12,46.7,0.16,83.44,8.31,96.44,15.51,1.19,20.7,100.87
2020,1,4,8,90.75,197.93,0.2,71.4,12.26,93.47,16.27,1.74,25.2,100.92
2020,1,4,9,157.45,367.05,0.23,60.48,3.21,89.4,17.31,1.94,37.0,100.96
2020,1,4,10,212.02,510.88,0.24,51.41,2.82,84.76,18.38,2.23,44.3,100.94
2020,1,4,11,272.02,598.85,0.27,45.33,2.47,79.96,19.65,2.44,48.2,100.83
2020,1,4,12,278.98,620.35,0.27,43.51,2.12,75.94,20.7,2.41,51.9,100.69
2020,1,4,13,292.23,583.12,0.3,46.46,1.34,73.85,21.29,2.18,54.9,100.57
2020,1,4,14,275.8,476.8,0.33,53.4,0.63,73.54,21.47,1.96,60.3,100.5
2020,1,4,15,188.3,325.5,0.29,63.01,0.23,74.37,21.35,1.96,68.4,100.47
2020,1,4,16,96.72,156.43,0.25,74.26,0.09,77.83,20.83,1.82,72.4,100.47
2020,1,4,17,14.95,23.65,0.16,86.19,0.02,89.66,18.77,0.97,78.7,100.53
2020,1,4,18,0.0,0.0,-999.0,90.0,0.0,93.49,17.22,0.91,85.6,100.61
2020,1,4,19,0.0,0.0,-999.0,90.0,0.0,95.88,16.56,0.93,87.5,100.7
2020,1,4,20,0.0,0.0,-999.0,90.0,0.0,98.52,15.99,0.9,86.8,100.76
2020,1,4,21,0.0,0.0,-999.0,90.0,0.01,100.0,15.51,0.84,85.9,100.78
2020,1,4,22,0.0,0.0,-999.0,90.0,0.01,100.0,15.1,0.78,82.6,100.75
