YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,59.07,6.2,1.16,89.5,97.0
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,58.98,6.06,1.15,86.0,97.0
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,57.94,6.07,1.16,78.6,96.99
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,55.23,6.43,1.12,75.5,96.98
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,52.92,6.75,0.97,79.3,96.99
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,51.35,6.98,0.87,88.0,97.06
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,51.74,6.66,0.91,97.6,97.13
2020,1,1,7,60.08,80.28,0.38,83.48,0.0,52.56,7.1,1.0,103.3,97.22
2020,1,1,8,211.15,269.75,0.52,73.12,0.0,52.99,9.89,1.13,108.6,97.31
2020,1,1,9,369.73,440.83,0.6,64.25,0.0,39.36,12.78,2.27,117.0,97.4
2020,1,1,10,484.08,564.75,0.64,57.63,0.0,34.9,15.24,2.94,125.3,97.41
2020,1,1,11,514.0,608.0,0.62,54.09,0.0,32.12,16.97,3.2,131.1,97.35
2020,1,1,12,531.17,604.38,0.65,54.27,0.0,30.84,17.99,3.24,135.5,97.26
2020,1,1,13,486.98,535.1,0.66,58.11,0.0,31.03,18.38,3.13,139.5,97.18
2020,1,1,14,360.08,406.75,0.6,64.98,0.0,32.78,18.05,2.65,143.1,97.13
2020,1,1,15,204.73,234.52,0.53,74.01,0.0,46.94,16.46,1.17,150.8,97.12
2020,1,1,16,46.42,55.62,0.35,84.52,0.0,46.89,14.67,0.71,175.2,97.13
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,42.16,14.47,0.07,171.9,97.2
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,47.72,12.72,0.81,30.4,97.28
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,55.81,10.43,1.21,44.0,97.35
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,60.78,8.8,1.34,59.6,97.38
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,62.48,8.19,1.45,73.6,97.37
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,62.68,7.97,1.53,82.1,97.34
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,62.44,7.81,1.53,85.9,97.28
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,61.92,7.75,1.46,87.3,97.22
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,59.33,8.09,1.41,87.6,97.18
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,55.14,8.88,1.33,90.9,97.17
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,53.95,9.13,1.25,92.3,97.17
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,56.17,8.72,1.26,90.0,97.2
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,58.32,8.32,1.27,84.6,97.27
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,59.12,8.24,1.27,85.5,97.36
