YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,17.18,91.59,23.63,1.91,66.5,100.75
2020,1,1,1,0.0,0.0,-999.0,90.0,22.38,92.18,23.57,1.82,67.7,100.66
2020,1,1,2,0.0,0.0,-999.0,90.0,27.01,92.68,23.52,1.73,66.8,100.61
2020,1,1,3,0.0,0.0,-999.0,90.0,33.32,93.1,23.49,1.66,64.4,100.59
2020,1,1,4,0.0,0.0,-999.0,90.0,35.52,93.35,23.48,1.68,63.9,100.63
2020,1,1,5,0.0,0.0,-999.0,90.0,30.58,93.42,23.54,1.71,62.8,100.71
2020,1,1,6,30.67,40.62,0.22,84.37,28.41,92.0,24.35,1.97,59.5,100.83
2020,1,1,7,149.25,217.05,0.33,71.54,30.47,87.79,25.67,2.84,60.5,100.94
2020,1,1,8,294.38,425.17,0.41,59.47,35.78,84.25,26.71,3.16,67.9,101.02
2020,1,1,9,378.48,599.42,0.41,48.8,33.77,78.92,27.78,3.51,78.0,101.02
2020,1,1,10,444.42,714.12,0.42,40.7,32.79,75.2,28.49,3.7,84.7,100.98
2020,1,1,11,520.38,801.15,0.46,36.89,32.55,73.25,28.85,3.8,88.9,100.87
2020,1,1,12,551.9,780.58,0.5,38.66,33.34,71.99,28.98,3.8,90.9,100.76
2020,1,1,13,442.58,689.35,0.45,45.38,28.53,72.58,28.7,3.73,91.5,100.67
2020,1,1,14,398.48,535.9,0.5,55.26,22.27,73.33,28.4,3.61,93.0,100.63
2020,1,1,15,235.82,336.17,0.43,66.9,10.18,74.91,27.92,3.39,93.7,100.63
2020,1,1,16,79.1,121.22,0.31,79.52,4.73,79.19,27.13,2.78,93.1,100.68
2020,1,1,17,2.92,3.62,0.2,89.41,4.0,86.98,25.75,1.87,88.5,100.76
2020,1,1,18,0.0,0.0,-999.0,90.0,5.25,88.79,25.28,1.76,82.1,100.87
2020,1,1,19,0.0,0.0,-999.0,90.0,4.38,89.8,25.05,1.69,77.0,100.96
2020,1,1,20,0.0,0.0,-999.0,90.0,4.88,90.6,24.8,1.62,75.4,101.02
2020,1,1,21,0.0,0.0,-999.0,90.0,4.72,91.39,24.55,1.55,75.4,101.02
2020,1,1,22,0.0,0.0,-999.0,90.0,5.78,92.1,24.32,1.5,76.1,100.99
2020,1,1,23,0.0,0.0,-999.0,90.0,6.08,92.86,24.1,1.48,77.5,100.93
2020,1,2,0,0.0,0.0,-999.0,90.0,7.12,93.59,23.88,1.43,79.6,100.85
2020,1,2,1,0.0,0.0,-999.0,90.0,6.59,94.16,23.72,1.39,81.8,100.78
2020,1,2,2,0.0,0.0,-999.0,90.0,8.91,94.29,23.65,1.37,81.6,100.73
2020,1,2,3,0.0,0.0,-999.0,90.0,7.41,94.19,23.64,1.38,80.0,100.73
2020,1,2,4,0.0,0.0,-999.0,90.0,7.14,94.12,23.65,1.41,80.6,100.78
2020,1,2,5,0.0,0.0,-999.0,90.0,6.62,93.98,23.7,1.46,82.9,100.88
2020,1,2,6,42.3,52.92,0.31,84.44,5.31,92.51,24.52,1.57,86.7,100.99
2020,1,2,7,213.45,258.67,0.48,71.61,6.82,87.12,26.01,2.31,90.5,101.1
2020,1,2,8,411.45,470.2,0.58,59.51,0.75,82.92,27.05,2.67,95.8,101.16
2020,1,2,9,573.62,644.47,0.62,48.82,0.86,79.2,27.78,2.91,96.5,101.16
2020,1,2,10,626.1,760.6,0.59,40.67,1.0,77.16,28.17,3.06,94.7,101.1
2020,1,2,11,658.65,795.92,0.58,36.81,1.03,76.02,28.34,3.12,92.9,100.97
2020,1,2,12,691.28,770.78,0.63,38.55,1.08,75.3,28.39,3.05,92.6,100.85
2020,1,2,13,576.28,677.33,0.58,45.25,1.16,75.01,28.26,2.94,92.1,100.75
2020,1,2,14,452.02,521.9,0.56,55.12,0.95,75.07,28.05,2.81,93.3,100.72
2020,1,2,15,278.58,321.45,0.5,66.76,0.55,76.27,27.67,2.65,93.5,100.75
2020,1,2,16,100.53,111.4,0.39,79.39,0.43,80.03,26.97,2.32,92.5,100.8
