YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,87.94,14.96,0.94,65.6,99.89
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,87.38,14.72,0.92,85.6,99.85
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,87.67,14.41,0.92,105.7,99.82
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,89.46,13.89,1.0,119.9,99.8
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,92.04,13.23,1.09,127.9,99.81
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,93.78,12.71,1.19,130.2,99.87
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,93.76,12.46,1.35,131.7,99.96
2020,1,1,7,88.1,96.53,0.42,81.43,0.0,79.68,15.14,2.26,135.5,100.07
2020,1,1,8,252.5,301.38,0.52,69.75,0.0,62.23,18.7,2.67,147.1,100.16
2020,1,1,9,423.85,497.58,0.59,59.1,0.0,47.7,22.39,1.82,187.9,100.22
2020,1,1,10,626.0,647.5,0.7,50.45,0.0,39.68,24.58,1.74,215.9,100.19
2020,1,1,11,676.75,736.03,0.68,44.99,0.0,35.37,25.9,1.97,237.0,100.13
2020,1,1,12,697.88,742.38,0.69,43.93,0.0,33.68,26.69,2.31,252.1,100.03
2020,1,1,13,618.9,687.53,0.65,47.56,0.0,33.7,26.98,2.54,260.9,99.93
2020,1,1,14,502.17,565.8,0.62,54.96,0.0,34.74,26.7,2.65,264.4,99.87
2020,1,1,15,321.38,389.52,0.54,64.85,0.0,37.46,25.81,2.68,267.0,99.84
2020,1,1,16,147.6,182.3,0.44,76.26,0.0,45.02,24.03,2.43,275.4,99.88
2020,1,1,17,16.42,17.85,0.28,87.63,0.0,68.89,20.05,1.46,286.3,99.97
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,79.65,18.4,1.43,295.3,100.07
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,84.67,17.68,1.28,305.4,100.16
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,87.86,17.09,1.12,318.6,100.22
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,89.68,16.7,1.04,335.6,100.26
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,91.3,16.43,0.99,358.3,100.24
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,94.06,16.1,0.93,26.3,100.18
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,97.58,15.63,0.9,52.2,100.12
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,100.0,15.27,0.86,71.8,100.07
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,100.0,15.02,0.83,86.6,100.04
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,100.0,14.77,0.85,99.5,100.04
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,100.0,14.58,0.87,112.2,100.07
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,100.0,14.46,0.9,122.3,100.16
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,99.81,14.38,0.92,130.6,100.27
2020,1,2,7,66.55,89.28,0.32,81.5,0.0,88.51,16.34,1.07,135.4,100.37
2020,1,2,8,186.73,286.85,0.38,69.79,0.0,71.22,19.73,0.25,143.1,100.43
2020,1,2,9,344.83,479.48,0.48,59.12,0.0,56.98,22.82,0.98,307.1,100.45
2020,1,2,10,504.95,627.83,0.56,50.44,0.0,51.11,24.62,1.5,300.8,100.4
2020,1,2,11,528.83,715.1,0.53,44.94,0.0,48.0,25.84,2.1,293.9,100.29
2020,1,2,12,528.8,712.28,0.52,43.84,0.0,45.94,26.76,2.63,287.1,100.14
2020,1,2,13,592.7,655.58,0.62,47.44,0.0,45.57,27.11,3.01,284.5,100.02
2020,1,2,14,488.2,534.0,0.6,54.83,0.0,47.0,26.67,3.19,286.8,99.96
2020,1,2,15,288.92,360.15,0.48,64.71,0.0,49.73,25.7,3.14,292.6,99.96
2020,1,2,16,128.9,162.35,0.38,76.12,0.0,54.64,24.13,2.87,302.5,100.0
2020,1,2,17,14.73,16.35,0.24,87.54,0.0,70.6,21.0,1.69,313.8,100.1
2020,1,2,18,0.0,0.0,-999.0,90.0,0.0,77.92,19.38,1.58,325.8,100.21
2020,1,2,19,0.0,0.0,-999.0,90.0,0.0,80.66,18.62,1.44,338.4,100.29
2020,1,2,20,0.0,0.0,-999.0,90.0,0.0,83.04,17.96,1.37,349.9,100.35
2020,1,2,21,0.0,0.0,-999.0,90.0,0.0,85.34,17.35,1.33,1.7,100.35
2020,1,2,22,0.0,0.0,-999.0,90.0,0.0,87.43,16.8,1.4,11.1,100.33
2020,1,2,23,0.0,0.0,-999.0,90.0,0.0,89.5,16.29,1.53,18.7,100.29
2020,1,3,0,0.0,0.0,-999.0,90.0,0.0,91.45,15.81,1.7,24.3,100.25
2020,1,3,1,0.0,0.0,-999.0,90.0,0.0,93.15,15.38,1.91,27.5,100.21
2020,1,3,2,0.0,0.0,-999.0,90.0,0.0,94.67,14.94,1.99,32.9,100.17
2020,1,3,3,0.0,0.0,-999.0,90.0,0.0,96.49,14.41,1.86,40.2,100.15
2020,1,3,4,0.0,0.0,-999.0,90.0,0.0,98.16,13.93,1.68,46.4,100.17
2020,1,3,5,0.0,0.0,-999.0,90.0,0.0,98.93,13.6,1.5,51.2,100.24
2020,1,3,6,0.0,0.0,-999.0,90.0,0.0,99.93,13.22,1.33,58.2,100.33
2020,1,3,7,77.32,85.2,0.37,81.57,0.0,86.57,15.4,2.04,65.7,100.42
2020,1,3,8,240.25,279.75,0.5,69.83,0.0,67.44,18.74,2.43,54.0,100.48
2020,1,3,9,418.12,472.27,0.58,59.13,0.0,52.77,22.25,2.76,33.2,100.49
2020,1,3,10,602.7,621.67,0.67,50.42,0.0,46.51,24.31,2.71,19.8,100.41
2020,1,3,11,688.17,708.33,0.69,44.88,0.0,41.13,25.85,2.83,7.5,100.28
2020,1,3,12,654.65,664.53,0.64,43.74,0.0,36.83,26.99,3.06,358.5,100.12
2020,1,3,13,586.2,615.45,0.61,47.31,0.0,34.07,27.62,3.27,353.3,99.99
2020,1,3,14,490.12,499.27,0.6,54.69,0.0,32.75,27.56,3.37,350.3,99.92
2020,1,3,15,324.77,332.42,0.54,64.57,0.0,33.31,26.81,3.35,347.7,99.9
2020,1,3,16,142.38,146.52,0.42,75.98,0.0,38.26,25.08,2.95,343.0,99.93
2020,1,3,17,15.32,15.45,0.25,87.46,0.0,54.93,21.16,2.15,338.2,100.0
2020,1,3,18,0.0,0.0,-999.0,90.0,0.0,61.2,19.59,2.53,343.2,100.09
2020,1,3,19,0.0,0.0,-999.0,90.0,0.0,65.58,18.73,2.66,350.5,100.16
2020,1,3,20,0.0,0.0,-999.0,90.0,0.0,70.63,17.82,2.54,358.0,100.2
2020,1,3,21,0.0,0.0,-999.0,90.0,0.0,74.89,17.0,2.42,6.2,100.22
2020,1,3,22,0.0,0.0,-999.0,90.0,0.0,78.36,16.27,2.3,14.6,100.21
2020,1,3,23,0.0,0.0,-999.0,90.0,0.0,81.04,15.6,2.16,22.3,100.17
2020,1,4,0,0.0,0.0,-999.0,90.0,0.0,82.68,15.0,2.02,29.4,100.12
2020,1,4,1,0.0,0.0,-999.0,90.0,0.0,83.65,14.44,1.88,35.9,100.07
2020,1,4,2,0.0,0.0,-999.0,90.0,0.0,84.39,13.9,1.72,42.9,100.02
2020,1,4,3,0.0,0.0,-999.0,90.0,0.0,84.88,13.4,1.6,49.1,99.99
2020,1,4,4,0.0,0.0,-999.0,90.0,0.0,84.75,12.99,1.53,55.4,100.0
2020,1,4,5,0.0,0.0,-999.0,90.0,0.0,84.09,12.67,1.5,62.6,100.06
2020,1,4,6,0.0,0.0,-999.0,90.0,0.0,83.28,12.41,1.51,70.6,100.13
2020,1,4,7,68.6,71.65,0.33,81.63,0.0,69.45,14.9,2.39,77.9,100.19
2020,1,4,8,234.32,248.45,0.48,69.87,0.0,54.46,18.12,2.87,76.9,100.26
