YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,43.5,3.93,1.12,63.4,86.36
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,42.23,3.78,1.03,61.7,86.36
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,40.3,3.85,1.0,58.5,86.35
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,38.43,4.03,0.98,60.0,86.34
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,35.25,4.75,0.99,66.8,86.35
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,34.52,4.86,0.95,74.8,86.41
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,36.39,4.51,0.94,84.5,86.49
2020,1,1,7,87.68,117.47,0.44,81.8,0.0,43.84,4.72,0.9,84.9,86.57
2020,1,1,8,255.32,311.95,0.58,71.84,0.0,50.39,7.58,0.87,99.2,86.65
2020,1,1,9,405.98,480.38,0.64,63.22,0.0,37.22,9.98,2.09,135.8,86.74
2020,1,1,10,519.2,597.05,0.68,56.96,0.0,37.55,11.49,2.99,148.4,86.75
2020,1,1,11,567.7,660.58,0.68,53.9,0.0,37.27,12.32,3.42,154.3,86.7
2020,1,1,12,532.58,667.08,0.65,54.58,0.0,37.67,12.65,3.44,160.1,86.62
2020,1,1,13,447.2,538.35,0.61,58.87,0.0,38.84,12.59,3.22,165.8,86.57
2020,1,1,14,324.7,399.0,0.57,66.07,0.0,41.39,12.02,2.75,173.3,86.53
2020,1,1,15,164.18,219.85,0.46,75.34,0.0,55.14,10.5,1.44,189.6,86.52
2020,1,1,16,29.62,40.97,0.29,85.88,0.0,68.99,7.73,0.83,221.6,86.55
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,61.76,7.27,0.57,259.9,86.62
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,62.83,6.81,0.58,2.0,86.72
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,69.19,5.65,0.92,31.6,86.78
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,71.27,5.07,1.04,41.5,86.82
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,71.2,4.6,1.13,42.9,86.81
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,70.66,4.1,1.23,40.0,86.78
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,69.64,3.74,1.29,36.8,86.71
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,67.83,3.67,1.31,33.4,86.64
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,64.29,4.09,1.27,31.2,86.58
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,60.15,4.96,1.09,28.0,86.55
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,60.22,5.39,0.81,23.4,86.54
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,66.86,4.89,0.84,16.7,86.58
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,79.93,3.66,0.99,17.7,86.66
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,85.46,3.12,1.02,25.6,86.72
2020,1,2,7,67.55,117.25,0.34,81.84,0.0,83.54,4.04,1.12,31.1,86.77
2020,1,2,8,176.05,309.4,0.4,71.85,0.1,71.03,5.9,2.08,34.6,86.83
2020,1,2,9,269.98,476.95,0.43,63.21,0.16,64.52,7.21,2.52,37.6,86.87
2020,1,2,10,314.58,591.2,0.41,56.92,0.25,62.92,8.65,2.07,46.8,86.84
2020,1,2,11,357.92,618.15,0.43,53.82,0.51,63.28,9.67,1.59,67.0,86.74
2020,1,2,12,254.75,599.67,0.31,54.48,1.04,64.26,10.24,1.6,90.0,86.62
2020,1,2,13,261.45,511.92,0.36,58.75,1.43,66.36,10.4,1.63,109.8,86.53
2020,1,2,14,180.95,370.1,0.32,65.94,0.81,68.91,10.29,1.29,119.7,86.49
2020,1,2,15,92.35,192.62,0.26,75.21,0.35,74.66,9.86,0.67,122.3,86.48
2020,1,2,16,19.98,33.72,0.19,85.76,0.18,76.39,8.9,0.32,97.1,86.49
2020,1,2,17,0.0,0.0,-999.0,90.0,0.12,77.29,8.11,0.38,35.4,86.51
