YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.01,87.55,11.67,0.44,143.4,97.28
2020,1,1,1,0.0,0.0,-999.0,90.0,0.01,88.36,11.37,0.43,144.5,97.26
2020,1,1,2,0.0,0.0,-999.0,90.0,0.01,89.05,11.17,0.44,143.4,97.23
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,89.15,11.11,0.45,139.5,97.2
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,89.09,11.14,0.45,134.1,97.2
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,89.91,11.09,0.45,129.6,97.27
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,91.25,11.06,0.45,125.1,97.38
2020,1,1,7,55.15,96.88,0.25,81.1,0.0,86.5,12.48,0.64,121.0,97.48
2020,1,1,8,154.52,274.83,0.33,70.53,0.05,77.09,14.99,0.83,114.1,97.58
2020,1,1,9,261.2,443.23,0.38,61.12,0.1,67.21,17.59,0.89,104.3,97.65
2020,1,1,10,366.2,565.6,0.44,54.0,0.19,59.93,19.47,0.93,98.7,97.62
2020,1,1,11,397.27,606.4,0.44,50.15,0.49,56.74,20.7,0.93,97.4,97.49
2020,1,1,12,472.92,603.45,0.53,50.34,2.71,56.27,21.33,0.88,97.9,97.35
2020,1,1,13,416.58,534.62,0.51,54.53,0.52,57.1,21.56,0.79,97.3,97.25
2020,1,1,14,318.75,410.2,0.48,61.9,0.1,60.18,21.3,0.65,96.1,97.19
2020,1,1,15,187.1,242.75,0.42,71.48,0.11,69.56,20.33,0.49,91.2,97.18
2020,1,1,16,57.33,71.72,0.31,82.36,0.11,88.7,17.85,0.3,88.1,97.22
2020,1,1,17,0.0,0.0,-999.0,90.0,0.13,93.11,15.42,0.39,100.4,97.28
2020,1,1,18,0.0,0.0,-999.0,90.0,0.26,92.68,15.1,0.46,110.4,97.35
2020,1,1,19,0.0,0.0,-999.0,90.0,0.58,89.54,15.31,0.51,118.1,97.41
2020,1,1,20,0.0,0.0,-999.0,90.0,0.92,90.0,15.02,0.48,121.4,97.46
2020,1,1,21,0.0,0.0,-999.0,90.0,0.25,91.58,14.55,0.43,122.6,97.49
2020,1,1,22,0.0,0.0,-999.0,90.0,0.41,92.86,14.24,0.4,124.9,97.48
2020,1,1,23,0.0,0.0,-999.0,90.0,2.78,93.85,14.04,0.4,130.9,97.45
2020,1,2,0,0.0,0.0,-999.0,90.0,4.16,95.1,13.88,0.39,138.1,97.43
2020,1,2,1,0.0,0.0,-999.0,90.0,0.37,96.02,13.76,0.37,145.0,97.41
2020,1,2,2,0.0,0.0,-999.0,90.0,0.11,95.97,13.86,0.34,148.2,97.39
2020,1,2,3,0.0,0.0,-999.0,90.0,0.04,96.7,13.74,0.3,145.8,97.37
2020,1,2,4,0.0,0.0,-999.0,90.0,0.01,97.55,13.34,0.33,132.5,97.38
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,97.49,13.26,0.41,129.1,97.42
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,97.16,13.26,0.42,132.1,97.5
2020,1,2,7,43.17,90.57,0.2,81.16,0.0,94.38,14.16,0.52,133.5,97.56
2020,1,2,8,124.85,265.55,0.27,70.56,0.0,87.64,15.86,0.65,123.7,97.61
2020,1,2,9,195.77,434.58,0.29,61.12,0.8,75.26,18.3,0.73,109.9,97.63
2020,1,2,10,252.07,559.55,0.3,53.97,0.19,65.38,20.41,0.8,103.0,97.58
2020,1,2,11,336.3,609.33,0.37,50.08,0.02,59.05,22.13,0.74,96.2,97.47
2020,1,2,12,327.8,609.62,0.36,50.24,0.02,55.32,23.3,0.53,91.1,97.36
2020,1,2,13,325.42,542.58,0.4,54.41,4.2,53.36,23.9,0.29,72.2,97.27
2020,1,2,14,251.07,416.08,0.38,61.77,1.32,55.88,23.4,0.21,22.8,97.22
2020,1,2,15,153.7,247.82,0.34,71.34,0.07,63.02,23.11,0.27,347.0,97.21
2020,1,2,16,48.33,75.4,0.25,82.21,0.01,77.13,20.88,0.4,351.5,97.22
2020,1,2,17,0.0,0.0,-999.0,90.0,0.0,77.93,18.59,0.76,19.1,97.25
2020,1,2,18,0.0,0.0,-999.0,90.0,0.0,78.72,17.47,0.84,49.8,97.31
2020,1,2,19,0.0,0.0,-999.0,90.0,0.0,77.42,17.03,0.83,80.3,97.39
2020,1,2,20,0.0,0.0,-999.0,90.0,0.01,87.93,15.42,0.71,93.2,97.4
2020,1,2,21,0.0,0.0,-999.0,90.0,0.04,93.7,14.51,0.38,93.0,97.4
2020,1,2,22,0.0,0.0,-999.0,90.0,0.22,94.91,14.14,0.37,105.5,97.39
2020,1,2,23,0.0,0.0,-999.0,90.0,0.65,94.71,14.12,0.39,115.9,97.35
2020,1,3,0,0.0,0.0,-999.0,90.0,1.04,93.87,14.17,0.41,119.1,97.3
2020,1,3,1,0.0,0.0,-999.0,90.0,1.05,94.43,14.07,0.41,117.8,97.24
2020,1,3,2,0.0,0.0,-999.0,90.0,0.94,96.17,13.8,0.4,119.7,97.21
2020,1,3,3,0.0,0.0,-999.0,90.0,0.62,96.78,13.65,0.41,128.0,97.17
2020,1,3,4,0.0,0.0,-999.0,90.0,0.47,96.63,13.58,0.38,137.1,97.18
