YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,78.17,13.02,2.71,58.7,100.91
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,79.22,12.43,3.0,59.2,100.87
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,79.16,11.87,3.04,59.6,100.84
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,78.9,11.38,2.96,61.5,100.83
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,79.89,10.94,2.84,63.9,100.84
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,82.2,10.59,2.71,66.3,100.9
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,85.65,10.33,2.56,67.0,101.0
2020,1,1,7,63.35,64.7,0.37,83.03,0.0,84.11,11.17,3.1,65.0,101.1
2020,1,1,8,236.98,250.82,0.53,71.52,0.0,76.4,13.56,3.04,61.9,101.19
2020,1,1,9,401.25,438.55,0.59,61.25,0.0,67.76,17.08,3.17,65.6,101.25
2020,1,1,10,551.67,585.03,0.65,53.02,0.0,62.22,20.49,3.01,73.2,101.24
2020,1,1,11,608.72,664.3,0.65,47.89,0.0,58.12,22.71,2.55,67.7,101.16
2020,1,1,12,502.27,566.1,0.52,46.9,0.0,55.0,23.75,2.33,57.8,101.04
2020,1,1,13,464.23,511.48,0.52,50.3,0.0,52.73,24.3,2.23,53.7,100.92
2020,1,1,14,323.33,396.0,0.43,57.3,0.0,51.68,24.37,2.03,51.0,100.84
2020,1,1,15,203.9,243.75,0.37,66.78,0.0,52.06,23.94,1.77,46.4,100.82
2020,1,1,16,84.75,94.12,0.29,77.83,0.0,62.12,22.6,0.91,36.5,100.85
2020,1,1,17,7.43,7.55,0.19,88.38,0.0,66.87,20.51,0.86,17.6,100.93
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,68.46,19.49,0.97,8.9,101.02
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,70.78,18.72,1.03,7.3,101.11
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,72.69,18.17,1.15,17.6,101.17
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,74.69,17.76,1.48,35.4,101.19
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,77.46,17.43,2.17,49.5,101.18
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,81.02,16.96,2.69,55.1,101.15
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,83.85,16.51,3.03,56.8,101.11
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,86.33,15.95,3.07,57.7,101.07
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,87.95,15.38,2.93,58.5,101.03
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,89.06,14.79,2.74,59.2,101.02
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,90.28,14.18,2.52,59.2,101.05
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,91.37,13.65,2.35,60.7,101.15
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,92.57,13.17,2.23,62.5,101.26
2020,1,2,7,47.62,49.2,0.28,83.09,0.0,88.3,13.75,2.85,65.8,101.36
2020,1,2,8,184.65,197.77,0.41,71.56,0.0,78.5,15.78,3.01,69.8,101.43
2020,1,2,9,349.5,371.65,0.52,61.27,0.0,69.8,18.26,2.87,68.7,101.47
2020,1,2,10,500.73,516.0,0.59,53.0,0.0,63.61,20.74,2.53,67.0,101.42
2020,1,2,11,566.25,597.9,0.6,47.84,0.0,57.74,22.87,1.82,56.2,101.29
2020,1,2,12,521.7,554.35,0.54,46.81,0.0,52.92,24.09,1.42,32.9,101.12
2020,1,2,13,452.65,497.58,0.5,50.18,0.0,50.21,24.59,1.42,6.9,101.0
2020,1,2,14,344.83,374.15,0.45,57.17,0.0,49.44,24.49,1.63,351.2,100.95
2020,1,2,15,200.7,214.57,0.36,66.65,0.0,49.99,23.95,1.84,347.1,100.95
2020,1,2,16,82.75,87.1,0.28,77.7,0.0,57.82,22.62,1.34,344.0,101.0
