YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,55.57,-3.77,0.58,40.8,69.55
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,51.25,-3.7,0.46,40.6,69.52
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,48.45,-3.75,0.39,32.5,69.49
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,47.26,-3.77,0.44,34.8,69.46
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,46.64,-3.74,0.46,42.4,69.46
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,45.81,-3.71,0.45,45.9,69.51
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,45.75,-3.81,0.43,50.7,69.59
2020,1,1,7,32.25,69.78,0.23,84.23,0.0,47.11,-3.45,0.46,58.4,69.67
2020,1,1,8,121.65,280.98,0.3,73.23,0.0,63.83,-1.77,0.42,69.0,69.74
2020,1,1,9,220.15,474.12,0.35,63.6,0.0,43.44,0.85,0.95,125.5,69.8
2020,1,1,10,302.1,617.17,0.38,56.07,0.0,36.78,2.67,1.57,162.6,69.81
2020,1,1,11,345.12,693.97,0.39,51.59,0.0,36.83,3.86,2.13,179.7,69.76
2020,1,1,12,334.8,685.67,0.38,50.96,0.0,39.41,4.31,2.43,186.6,69.68
2020,1,1,13,377.45,624.17,0.46,54.32,0.0,43.95,4.13,2.5,191.3,69.63
2020,1,1,14,287.15,491.7,0.42,61.01,0.0,48.8,3.61,2.37,193.2,69.59
2020,1,1,15,175.8,306.88,0.37,70.08,0.0,55.67,2.58,2.14,193.5,69.58
2020,1,1,16,70.43,114.88,0.29,80.17,0.0,68.52,0.88,1.55,186.7,69.58
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,77.31,-1.18,0.51,141.3,69.58
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,84.07,-2.36,0.3,99.5,69.65
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,86.77,-3.07,0.19,101.9,69.75
2020,1,1,20,0.0,0.0,-999.0,90.0,0.01,87.86,-2.92,0.09,122.0,69.82
2020,1,1,21,0.0,0.0,-999.0,90.0,0.02,85.38,-2.67,0.09,186.3,69.84
2020,1,1,22,0.0,0.0,-999.0,90.0,0.03,85.25,-2.56,0.08,203.2,69.82
2020,1,1,23,0.0,0.0,-999.0,90.0,0.04,87.03,-2.66,0.09,108.4,69.76
2020,1,2,0,0.0,0.0,-999.0,90.0,0.06,87.47,-2.57,0.16,190.6,69.73
2020,1,2,1,0.0,0.0,-999.0,90.0,0.11,94.01,-2.89,0.32,209.7,69.72
2020,1,2,2,0.0,0.0,-999.0,90.0,0.09,98.65,-3.18,0.2,197.5,69.67
2020,1,2,3,0.0,0.0,-999.0,90.0,0.05,96.02,-3.1,0.14,155.2,69.61
2020,1,2,4,0.0,0.0,-999.0,90.0,0.02,91.12,-2.93,0.28,137.9,69.58
2020,1,2,5,0.0,0.0,-999.0,90.0,0.01,88.69,-2.76,0.44,131.3,69.59
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,88.83,-2.65,0.51,131.8,69.62
2020,1,2,7,45.6,53.65,0.33,84.28,0.0,88.38,-2.19,0.42,136.9,69.67
