YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.22,90.64,18.27,3.92,131.2,95.82
2020,1,1,1,0.0,0.0,-999.0,90.0,0.18,94.35,17.52,3.24,127.6,95.75
2020,1,1,2,0.0,0.0,-999.0,90.0,0.11,95.65,17.17,3.01,123.5,95.71
2020,1,1,3,0.0,0.0,-999.0,90.0,0.1,96.01,17.01,2.97,121.2,95.73
2020,1,1,4,0.0,0.0,-999.0,90.0,0.11,96.19,16.91,2.88,120.7,95.77
2020,1,1,5,0.0,0.0,-999.0,90.0,0.11,96.51,16.86,2.79,120.3,95.86
2020,1,1,6,14.62,18.73,0.21,87.12,0.1,95.34,17.11,2.96,119.3,95.97
2020,1,1,7,117.32,169.62,0.33,75.22,0.09,89.46,18.5,3.55,119.9,96.1
2020,1,1,8,257.58,382.2,0.41,63.43,0.46,80.35,20.77,4.22,125.0,96.16
2020,1,1,9,403.38,566.17,0.48,53.06,0.42,68.87,23.45,4.62,131.8,96.15
2020,1,1,10,542.0,693.5,0.55,45.11,0.65,59.93,25.61,4.55,135.3,96.09
2020,1,1,11,635.6,713.95,0.6,41.03,0.8,53.8,27.09,4.32,137.5,95.99
2020,1,1,12,586.0,692.62,0.56,41.95,0.82,49.5,28.01,4.09,139.9,95.85
2020,1,1,13,442.98,601.1,0.47,47.6,0.76,47.1,28.35,3.88,141.3,95.74
2020,1,1,14,339.48,427.38,0.44,56.56,0.58,47.02,28.04,3.57,141.7,95.7
2020,1,1,15,207.05,241.98,0.38,67.53,0.37,48.97,27.26,3.32,139.6,95.71
2020,1,1,16,71.18,80.97,0.28,79.67,0.26,56.54,25.58,2.56,133.4,95.76
2020,1,1,17,2.67,2.92,0.18,89.38,0.47,69.5,23.0,1.91,127.8,95.83
2020,1,1,18,0.0,0.0,-999.0,90.0,0.7,72.83,22.27,2.51,126.9,95.92
2020,1,1,19,0.0,0.0,-999.0,90.0,0.57,76.79,21.66,2.87,129.1,96.02
2020,1,1,20,0.0,0.0,-999.0,90.0,0.52,81.35,21.06,2.92,131.8,96.07
2020,1,1,21,0.0,0.0,-999.0,90.0,0.52,85.47,20.63,3.14,132.9,96.07
2020,1,1,22,0.0,0.0,-999.0,90.0,0.47,90.4,20.08,3.09,132.2,96.05
2020,1,1,23,0.0,0.0,-999.0,90.0,0.71,94.4,19.66,3.14,130.0,96.0
2020,1,2,0,0.0,0.0,-999.0,90.0,0.97,96.27,19.48,3.16,126.3,95.94
2020,1,2,1,0.0,0.0,-999.0,90.0,1.01,96.86,19.36,3.05,121.6,95.88
2020,1,2,2,0.0,0.0,-999.0,90.0,1.14,97.03,19.2,2.98,117.8,95.82
2020,1,2,3,0.0,0.0,-999.0,90.0,1.35,96.98,19.06,3.02,115.5,95.82
2020,1,2,4,0.0,0.0,-999.0,90.0,1.37,96.88,18.96,3.06,113.1,95.87
2020,1,2,5,0.0,0.0,-999.0,90.0,1.19,97.0,18.83,2.87,113.0,95.96
2020,1,2,6,14.68,17.1,0.21,87.17,0.97,96.2,18.9,3.06,114.3,96.07
2020,1,2,7,110.47,149.57,0.31,75.28,0.76,92.14,19.86,3.59,119.0,96.16
2020,1,2,8,250.32,349.83,0.4,63.47,1.72,85.5,21.54,4.35,127.3,96.22
2020,1,2,9,391.1,546.22,0.46,53.08,2.09,73.37,23.98,4.6,138.8,96.21
2020,1,2,10,491.05,668.97,0.49,45.09,1.99,63.65,25.95,4.3,146.2,96.14
2020,1,2,11,504.0,735.22,0.47,40.96,2.35,56.9,27.33,3.99,150.7,96.01
2020,1,2,12,516.72,697.58,0.49,41.85,3.18,52.71,28.04,3.65,154.1,95.87
2020,1,2,13,408.2,610.0,0.43,47.47,3.98,50.78,28.15,3.38,154.4,95.78
2020,1,2,14,271.42,448.75,0.35,56.43,3.68,50.71,27.8,3.13,154.8,95.75
2020,1,2,15,172.07,261.8,0.32,67.39,2.24,52.95,27.01,2.79,152.2,95.76
2020,1,2,16,64.82,89.32,0.25,79.54,1.72,62.3,25.38,1.82,144.8,95.81
2020,1,2,17,2.85,3.45,0.18,89.34,1.65,76.78,22.95,1.2,137.4,95.87
2020,1,2,18,0.0,0.0,-999.0,90.0,1.47,79.78,22.31,1.4,133.3,95.96
2020,1,2,19,0.0,0.0,-999.0,90.0,1.96,82.85,21.84,1.7,133.6,96.03
2020,1,2,20,0.0,0.0,-999.0,90.0,4.31,87.08,21.37,1.96,135.6,96.05
2020,1,2,21,0.0,0.0,-999.0,90.0,8.18,92.35,20.83,1.89,138.6,96.05
2020,1,2,22,0.0,0.0,-999.0,90.0,12.96,96.12,20.52,1.72,141.9,96.02
2020,1,2,23,0.0,0.0,-999.0,90.0,19.94,97.12,20.54,2.02,144.3,95.95
2020,1,3,0,0.0,0.0,-999.0,90.0,26.68,97.34,20.49,2.12,145.6,95.88
2020,1,3,1,0.0,0.0,-999.0,90.0,30.06,97.48,20.34,2.17,145.7,95.81
2020,1,3,2,0.0,0.0,-999.0,90.0,34.89,98.24,20.08,1.94,144.4,95.76
2020,1,3,3,0.0,0.0,-999.0,90.0,32.23,98.78,19.85,1.76,142.2,95.73
2020,1,3,4,0.0,0.0,-999.0,90.0,25.79,98.95,19.74,1.66,143.8,95.76
2020,1,3,5,0.0,0.0,-999.0,90.0,18.3,99.24,19.62,1.4,147.2,95.83
2020,1,3,6,9.3,16.5,0.14,87.22,13.09,98.1,19.93,1.5,151.4,95.93
2020,1,3,7,72.05,160.8,0.2,75.34,11.09,93.11,21.29,2.35,157.2,96.03
2020,1,3,8,157.77,369.92,0.25,63.51,3.36,84.39,23.04,2.54,169.8,96.09
