YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.26,82.61,10.96,0.79,111.7,91.21
2020,1,1,1,0.0,0.0,-999.0,90.0,0.71,82.54,10.62,0.79,106.8,91.18
2020,1,1,2,0.0,0.0,-999.0,90.0,1.0,83.13,10.26,0.8,102.3,91.15
2020,1,1,3,0.0,0.0,-999.0,90.0,0.72,84.75,9.78,0.79,97.3,91.14
2020,1,1,4,0.0,0.0,-999.0,90.0,0.43,86.78,9.24,0.76,94.5,91.15
2020,1,1,5,0.0,0.0,-999.0,90.0,0.29,88.06,8.84,0.75,93.8,91.22
2020,1,1,6,5.0,7.05,0.18,88.84,0.14,87.99,8.76,0.76,93.8,91.31
2020,1,1,7,73.6,124.5,0.27,78.85,0.12,85.7,11.19,0.47,83.9,91.42
2020,1,1,8,172.0,310.52,0.32,67.87,1.63,73.77,14.42,0.67,86.6,91.52
2020,1,1,9,270.5,476.3,0.37,58.44,0.06,65.91,16.96,0.73,102.7,91.59
2020,1,1,10,350.6,593.55,0.4,51.44,0.35,55.48,19.42,0.72,123.0,91.56
2020,1,1,11,392.95,661.3,0.42,47.95,1.1,51.84,20.61,0.71,135.0,91.45
2020,1,1,12,370.7,644.33,0.4,48.74,2.12,51.41,21.02,0.69,142.6,91.33
2020,1,1,13,302.27,560.65,0.36,53.61,3.9,53.52,20.86,0.7,143.1,91.24
2020,1,1,14,236.05,419.08,0.35,61.6,6.76,58.46,20.2,0.7,139.0,91.19
2020,1,1,15,136.88,238.95,0.31,71.66,8.19,68.75,19.13,0.59,130.2,91.19
2020,1,1,16,40.6,62.95,0.24,83.01,5.93,82.67,17.07,0.34,127.9,91.22
2020,1,1,17,0.0,0.0,-999.0,90.0,2.4,85.9,15.49,0.44,125.8,91.28
2020,1,1,18,0.0,0.0,-999.0,90.0,0.91,88.52,14.6,0.43,113.0,91.37
2020,1,1,19,0.0,0.0,-999.0,90.0,0.55,91.37,13.77,0.42,109.3,91.43
2020,1,1,20,0.0,0.0,-999.0,90.0,0.36,93.02,13.03,0.4,108.9,91.47
2020,1,1,21,0.0,0.0,-999.0,90.0,0.37,93.78,12.44,0.43,108.9,91.48
