YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,80.91,10.25,1.15,14.0,96.64
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,82.19,9.83,1.15,14.0,96.62
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,83.42,9.49,1.12,14.5,96.6
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,83.47,9.34,1.19,17.7,96.58
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,82.91,9.35,1.27,19.9,96.62
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,81.99,9.53,1.27,22.1,96.71
2020,1,1,6,4.53,4.82,0.29,89.36,0.0,81.86,9.78,1.3,25.6,96.81
2020,1,1,7,120.53,132.7,0.52,80.45,0.0,76.53,12.58,1.39,22.9,96.92
2020,1,1,8,301.02,332.58,0.62,69.84,0.0,66.63,15.5,1.87,20.7,97.02
2020,1,1,9,462.62,502.85,0.67,60.81,0.0,63.23,17.53,1.98,33.0,97.1
2020,1,1,10,564.67,621.08,0.69,54.19,0.0,61.3,18.98,1.98,42.5,97.06
2020,1,1,11,600.1,669.45,0.68,50.92,0.0,60.01,20.04,1.95,50.2,96.94
2020,1,1,12,573.55,656.1,0.66,51.66,0.0,59.61,20.7,1.91,56.3,96.8
2020,1,1,13,497.85,577.3,0.64,56.23,0.0,60.52,20.84,1.84,60.4,96.69
2020,1,1,14,369.38,437.65,0.59,63.82,0.01,63.73,20.47,1.62,60.4,96.62
2020,1,1,15,208.55,253.82,0.52,73.49,0.01,71.58,19.5,1.16,51.6,96.6
2020,1,1,16,49.08,60.67,0.36,84.52,0.0,86.2,16.99,0.78,39.8,96.62
2020,1,1,17,0.0,0.0,-999.0,90.0,0.01,87.2,15.15,0.98,32.6,96.68
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,87.77,14.77,1.06,23.9,96.74
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,87.8,14.48,1.13,18.1,96.79
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,87.72,14.27,1.15,16.2,96.84
2020,1,1,21,0.0,0.0,-999.0,90.0,0.01,87.26,14.17,1.1,14.2,96.85
2020,1,1,22,0.0,0.0,-999.0,90.0,0.01,86.91,14.06,1.05,12.1,96.84
2020,1,1,23,0.0,0.0,-999.0,90.0,0.02,86.69,13.94,0.97,11.3,96.81
2020,1,2,0,0.0,0.0,-999.0,90.0,0.03,86.26,13.89,0.9,13.4,96.77
2020,1,2,1,0.0,0.0,-999.0,90.0,0.08,85.77,13.85,0.86,18.2,96.74
2020,1,2,2,0.0,0.0,-999.0,90.0,0.17,84.76,13.87,0.8,21.1,96.7
2020,1,2,3,0.0,0.0,-999.0,90.0,0.44,84.2,13.95,0.77,18.9,96.67
2020,1,2,4,0.0,0.0,-999.0,90.0,0.76,83.87,13.98,0.77,11.2,96.71
2020,1,2,5,0.0,0.0,-999.0,90.0,0.64,83.33,13.93,0.8,5.7,96.77
2020,1,2,6,2.38,4.12,0.16,89.38,0.24,83.6,13.64,0.86,2.7,96.85
2020,1,2,7,59.3,115.18,0.25,80.49,0.06,84.45,14.17,0.98,2.9,96.91
2020,1,2,8,152.82,303.85,0.32,69.86,0.01,75.35,15.61,1.56,9.6,96.97
2020,1,2,9,223.2,474.2,0.33,60.81,0.02,69.15,17.45,1.69,15.8,97.02
2020,1,2,10,269.48,594.6,0.33,54.16,0.01,62.21,19.43,1.7,27.0,96.97
2020,1,2,11,296.62,615.83,0.33,50.85,0.01,59.67,20.43,1.68,38.2,96.83
2020,1,2,12,370.1,603.9,0.42,51.55,0.02,58.88,21.02,1.63,45.7,96.69
2020,1,2,13,253.05,544.62,0.32,56.11,0.03,59.56,21.17,1.48,52.4,96.6
2020,1,2,14,187.73,406.58,0.3,63.69,0.04,62.01,20.79,1.2,57.6,96.56
2020,1,2,15,103.5,227.15,0.26,73.36,0.04,68.46,19.95,0.84,59.2,96.56
2020,1,2,16,24.8,50.88,0.18,84.38,0.05,81.15,17.81,0.59,61.7,96.6
2020,1,2,17,0.0,0.0,-999.0,90.0,0.02,79.17,16.25,0.71,64.9,96.66
2020,1,2,18,0.0,0.0,-999.0,90.0,0.01,80.51,15.65,0.75,55.3,96.73
2020,1,2,19,0.0,0.0,-999.0,90.0,0.01,83.15,14.92,0.86,47.8,96.77
2020,1,2,20,0.0,0.0,-999.0,90.0,0.04,84.83,14.36,0.93,30.4,96.81
2020,1,2,21,0.0,0.0,-999.0,90.0,0.06,87.7,13.8,1.02,19.5,96.84
2020,1,2,22,0.0,0.0,-999.0,90.0,0.06,90.37,13.23,1.06,23.9,96.78
