YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,69.18,5.45,1.8,87.8,97.1
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,69.74,5.08,1.74,84.1,97.08
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,68.86,5.15,1.74,80.4,97.06
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,68.19,5.14,1.78,78.0,97.06
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,68.23,4.91,1.88,75.8,97.07
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,69.36,4.42,1.99,75.5,97.13
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,69.43,4.11,2.15,76.5,97.22
2020,1,1,7,70.6,73.57,0.36,82.03,0.0,61.13,5.75,3.16,78.1,97.31
2020,1,1,8,218.9,237.9,0.48,71.22,0.0,51.96,8.37,3.69,81.6,97.39
2020,1,1,9,365.65,403.6,0.55,61.69,0.0,43.88,12.12,3.9,91.3,97.45
2020,1,1,10,481.5,527.58,0.59,54.38,0.0,39.55,15.29,4.37,100.5,97.43
2020,1,1,11,484.5,509.15,0.54,50.28,0.0,37.22,17.46,4.25,105.8,97.35
2020,1,1,12,488.52,507.98,0.54,50.19,0.0,35.48,18.99,4.06,108.2,97.25
2020,1,1,13,440.88,445.35,0.53,54.13,0.0,34.81,19.69,3.9,107.0,97.17
2020,1,1,14,323.27,326.83,0.48,61.33,0.0,35.74,19.57,3.68,101.8,97.12
2020,1,1,15,181.02,182.1,0.39,70.78,0.0,38.49,18.68,3.3,95.7,97.1
2020,1,1,16,54.22,54.17,0.26,81.45,0.0,52.46,15.24,1.61,90.4,97.13
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,61.15,11.95,1.64,85.8,97.2
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,62.67,11.12,1.92,84.0,97.29
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,65.02,10.38,2.09,84.8,97.36
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,68.88,9.64,2.13,87.3,97.41
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,74.53,8.94,2.07,90.3,97.43
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,82.4,8.19,1.9,92.7,97.4
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,91.54,7.41,1.67,94.5,97.36
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,100.0,6.71,1.47,93.9,97.32
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,100.0,6.16,1.38,90.4,97.29
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,100.0,5.69,1.36,85.8,97.26
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,100.0,5.56,1.4,81.3,97.23
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,100.0,6.15,1.71,76.8,97.24
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,100.0,6.68,2.44,74.8,97.3
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,100.0,6.8,2.35,75.0,97.39
2020,1,2,7,53.38,57.05,0.28,82.09,0.0,95.76,7.45,2.53,74.9,97.47
2020,1,2,8,158.52,200.12,0.35,71.25,0.0,90.47,8.41,2.4,72.8,97.54
2020,1,2,9,224.98,354.0,0.34,61.69,0.0,77.73,11.18,2.88,80.4,97.59
2020,1,2,10,281.27,482.75,0.34,54.35,0.0,61.49,14.54,3.56,87.9,97.52
2020,1,2,11,253.57,462.55,0.28,50.22,0.0,52.8,16.58,3.65,88.0,97.38
2020,1,2,12,320.1,445.35,0.35,50.1,0.0,47.07,17.92,3.5,87.4,97.22
2020,1,2,13,342.23,373.73,0.41,54.01,0.0,44.21,18.59,3.22,86.8,97.11
2020,1,2,14,232.52,246.4,0.34,61.2,0.0,43.86,18.63,2.9,81.7,97.06
