YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.04,75.99,28.42,2.79,54.3,101.12
2020,1,1,1,0.0,0.0,-999.0,90.0,0.05,75.69,28.37,2.59,49.2,101.04
2020,1,1,2,0.0,0.0,-999.0,90.0,0.07,75.71,28.27,2.53,47.4,100.97
2020,1,1,3,0.0,0.0,-999.0,90.0,0.04,75.84,28.16,2.61,51.4,100.94
2020,1,1,4,0.0,0.0,-999.0,90.0,0.04,75.95,28.08,2.75,58.7,100.95
2020,1,1,5,0.0,0.0,-999.0,90.0,0.04,76.01,28.06,2.87,64.9,101.02
2020,1,1,6,6.75,7.18,0.18,88.45,0.08,76.17,28.04,3.0,66.3,101.12
2020,1,1,7,96.47,110.05,0.3,76.96,0.18,76.49,28.06,3.26,62.2,101.27
2020,1,1,8,266.88,296.15,0.44,64.16,0.18,76.79,28.11,3.52,58.3,101.41
2020,1,1,9,464.05,486.85,0.54,52.29,0.19,77.06,28.16,3.64,56.9,101.45
2020,1,1,10,637.67,641.88,0.61,42.19,0.13,77.11,28.22,3.69,56.5,101.43
2020,1,1,11,734.72,741.6,0.64,35.42,0.07,76.96,28.28,3.68,56.0,101.38
2020,1,1,12,789.25,792.58,0.68,34.05,0.05,76.7,28.34,3.58,56.3,101.27
2020,1,1,13,738.95,743.42,0.67,38.66,0.02,76.3,28.39,3.44,56.9,101.15
2020,1,1,14,592.62,623.55,0.62,47.53,0.0,75.97,28.45,3.3,57.5,101.06
2020,1,1,15,411.75,446.35,0.56,58.76,0.01,75.81,28.5,3.19,57.4,101.03
2020,1,1,16,208.12,236.5,0.46,71.22,0.0,75.76,28.55,3.17,56.5,101.04
2020,1,1,17,41.5,45.6,0.3,84.31,0.01,75.83,28.59,3.18,56.2,101.09
2020,1,1,18,0.0,0.0,-999.0,90.0,0.03,76.01,28.59,3.21,58.4,101.18
2020,1,1,19,0.0,0.0,-999.0,90.0,0.02,75.79,28.63,3.18,63.1,101.28
2020,1,1,20,0.0,0.0,-999.0,90.0,0.03,75.6,28.64,3.08,67.5,101.36
2020,1,1,21,0.0,0.0,-999.0,90.0,0.02,75.34,28.61,2.94,73.2,101.38
2020,1,1,22,0.0,0.0,-999.0,90.0,0.01,75.05,28.55,2.69,79.3,101.35
2020,1,1,23,0.0,0.0,-999.0,90.0,0.01,74.46,28.47,2.34,84.4,101.3
2020,1,2,0,0.0,0.0,-999.0,90.0,0.05,73.7,28.38,1.94,85.6,101.25
2020,1,2,1,0.0,0.0,-999.0,90.0,0.11,73.13,28.27,1.59,81.0,101.17
2020,1,2,2,0.0,0.0,-999.0,90.0,0.29,73.14,28.15,1.44,68.1,101.12
2020,1,2,3,0.0,0.0,-999.0,90.0,0.35,73.43,28.09,1.61,57.2,101.11
2020,1,2,4,0.0,0.0,-999.0,90.0,0.3,73.81,28.06,1.81,51.7,101.16
2020,1,2,5,0.0,0.0,-999.0,90.0,0.37,74.04,28.08,1.97,45.0,101.25
2020,1,2,6,8.45,9.18,0.23,88.49,0.38,74.36,28.09,2.14,42.5,101.35
2020,1,2,7,132.18,148.38,0.42,77.04,0.39,74.9,28.13,2.4,41.1,101.46
2020,1,2,8,329.02,363.77,0.54,64.22,0.27,75.33,28.23,2.7,37.5,101.56
2020,1,2,9,532.42,562.05,0.62,52.33,0.32,75.96,28.3,2.99,31.9,101.59
2020,1,2,10,693.38,713.03,0.66,42.19,0.33,76.59,28.34,3.19,28.0,101.56
2020,1,2,11,772.4,802.17,0.67,35.38,0.36,77.02,28.36,3.3,26.9,101.49
2020,1,2,12,782.7,820.33,0.67,33.95,0.23,77.13,28.39,3.25,29.3,101.37
2020,1,2,13,734.62,765.33,0.67,38.53,0.13,77.11,28.4,3.1,33.4,101.24
2020,1,2,14,607.7,639.15,0.64,47.4,0.06,77.32,28.44,3.16,36.9,101.16
2020,1,2,15,421.83,461.33,0.58,58.63,0.07,77.94,28.48,3.47,37.3,101.14
2020,1,2,16,228.52,248.23,0.5,71.09,0.03,78.51,28.55,3.87,35.9,101.18
