YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.04,84.94,7.81,0.44,135.0,86.97
2020,1,1,1,0.0,0.0,-999.0,90.0,0.05,85.93,7.43,0.41,127.1,86.94
2020,1,1,2,0.0,0.0,-999.0,90.0,0.07,86.4,7.14,0.41,119.1,86.92
2020,1,1,3,0.0,0.0,-999.0,90.0,0.05,87.18,6.82,0.47,108.4,86.9
2020,1,1,4,0.0,0.0,-999.0,90.0,0.03,88.08,6.44,0.54,100.7,86.92
2020,1,1,5,0.0,0.0,-999.0,90.0,0.02,88.54,6.16,0.59,97.9,86.99
2020,1,1,6,5.3,8.38,0.16,88.68,0.01,88.46,6.14,0.58,95.9,87.07
2020,1,1,7,74.55,132.75,0.27,78.62,0.0,89.36,9.07,0.11,45.0,87.17
2020,1,1,8,163.12,320.52,0.31,67.85,0.03,74.89,12.47,0.0,180.0,87.27
2020,1,1,9,250.0,485.1,0.34,58.68,0.01,63.86,15.11,0.0,180.0,87.34
2020,1,1,10,338.58,599.62,0.39,52.01,0.12,58.76,16.7,0.0,180.0,87.31
2020,1,1,11,449.38,674.22,0.49,48.86,0.4,56.2,17.64,0.0,180.0,87.22
2020,1,1,12,486.52,655.92,0.54,49.91,0.93,55.79,17.89,0.0,180.0,87.11
2020,1,1,13,414.5,570.85,0.51,54.92,1.65,57.57,17.7,0.0,180.0,87.03
2020,1,1,14,302.85,426.4,0.47,62.94,2.68,63.27,16.88,0.0,180.0,86.99
2020,1,1,15,167.75,240.8,0.41,72.99,4.66,77.27,15.89,0.02,243.4,86.99
2020,1,1,16,37.3,54.75,0.27,84.32,7.24,90.3,13.19,0.11,127.9,87.01
2020,1,1,17,0.0,0.0,-999.0,90.0,6.34,89.84,11.21,0.59,121.8,87.07
2020,1,1,18,0.0,0.0,-999.0,90.0,1.93,91.79,10.46,0.67,124.6,87.15
2020,1,1,19,0.0,0.0,-999.0,90.0,0.38,93.98,9.7,0.63,128.0,87.2
2020,1,1,20,0.0,0.0,-999.0,90.0,0.36,95.62,9.06,0.55,124.6,87.22
2020,1,1,21,0.0,0.0,-999.0,90.0,0.2,96.57,8.52,0.47,118.2,87.23
2020,1,1,22,0.0,0.0,-999.0,90.0,0.22,97.33,8.19,0.33,109.5,87.22
2020,1,1,23,0.0,0.0,-999.0,90.0,0.27,97.25,8.06,0.24,109.2,87.18
2020,1,2,0,0.0,0.0,-999.0,90.0,0.33,96.77,8.05,0.21,106.7,87.15
2020,1,2,1,0.0,0.0,-999.0,90.0,0.4,95.55,8.19,0.24,112.3,87.11
2020,1,2,2,0.0,0.0,-999.0,90.0,0.55,94.61,8.35,0.28,117.5,87.07
2020,1,2,3,0.0,0.0,-999.0,90.0,0.65,94.31,8.41,0.28,115.6,87.04
2020,1,2,4,0.0,0.0,-999.0,90.0,1.07,93.89,8.46,0.32,128.7,87.06
2020,1,2,5,0.0,0.0,-999.0,90.0,1.58,93.7,8.48,0.33,138.7,87.12
2020,1,2,6,6.07,8.3,0.19,88.71,1.63,94.14,8.6,0.33,138.7,87.19
2020,1,2,7,93.93,129.18,0.34,78.66,0.98,98.55,10.18,0.05,78.7,87.25
2020,1,2,8,214.15,316.85,0.4,67.87,0.6,95.26,12.94,0.04,146.3,87.31
2020,1,2,9,330.23,484.67,0.45,58.68,0.46,79.78,14.97,0.0,180.0,87.34
2020,1,2,10,459.17,602.58,0.53,51.97,0.26,65.71,16.85,0.0,180.0,87.28
2020,1,2,11,548.15,674.5,0.59,48.79,0.12,58.95,18.16,0.0,180.0,87.17
2020,1,2,12,529.75,652.92,0.58,49.8,0.26,56.31,18.85,0.0,180.0,87.05
2020,1,2,13,425.27,567.3,0.52,54.79,0.99,56.04,19.02,0.0,180.0,86.97
2020,1,2,14,299.33,421.95,0.47,62.81,0.78,58.94,18.44,0.0,180.0,86.94
2020,1,2,15,166.18,236.1,0.4,72.85,0.67,68.87,17.36,0.01,270.0,86.94
2020,1,2,16,38.65,53.67,0.27,84.19,0.51,83.15,14.84,0.21,234.8,86.99
2020,1,2,17,0.0,0.0,-999.0,90.0,0.29,82.74,13.33,0.37,212.8,87.05
2020,1,2,18,0.0,0.0,-999.0,90.0,0.16,86.82,12.52,0.45,169.7,87.11
