YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,93.01,-25.84,1.43,168.7,58.05
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,100.0,-26.8,1.46,155.7,58.04
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,100.0,-27.84,1.5,141.8,58.04
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,100.0,-29.12,1.58,133.5,58.04
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,100.0,-30.25,1.62,128.0,58.05
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,100.0,-31.22,1.63,125.5,58.09
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,100.0,-31.98,1.63,124.8,58.14
2020,1,1,7,35.0,78.78,0.28,84.93,0.0,100.0,-32.36,1.61,125.4,58.19
2020,1,1,8,131.4,281.23,0.36,75.15,0.0,97.42,-30.64,1.55,130.0,58.25
2020,1,1,9,219.38,454.6,0.4,66.94,0.0,91.72,-26.74,2.66,133.5,58.3
2020,1,1,10,236.88,575.4,0.35,60.97,0.0,91.42,-22.77,2.4,142.5,58.3
2020,1,1,11,244.55,635.08,0.33,57.95,0.0,79.07,-18.05,2.21,183.6,58.27
2020,1,1,12,201.7,628.6,0.27,58.34,0.0,76.34,-16.26,2.51,221.8,58.23
2020,1,1,13,207.43,552.5,0.31,62.08,0.0,73.88,-15.82,2.48,241.9,58.22
2020,1,1,14,211.77,416.67,0.41,68.61,0.0,71.02,-15.85,2.0,260.5,58.23
2020,1,1,15,104.28,233.3,0.34,77.22,0.0,71.85,-16.16,1.05,285.0,58.23
2020,1,1,16,19.27,40.3,0.26,86.96,0.0,74.47,-17.42,0.54,3.2,58.24
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,75.9,-19.24,0.75,39.0,58.28
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,81.99,-20.63,0.69,56.8,58.34
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,90.87,-22.05,0.66,80.4,58.39
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,100.0,-23.5,0.82,101.3,58.43
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,100.0,-24.72,1.0,114.8,58.46
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,100.0,-26.08,1.2,119.6,58.47
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,100.0,-27.76,1.37,118.8,58.46
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,100.0,-29.61,1.49,117.6,58.44
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,100.0,-31.4,1.56,117.6,58.44
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,100.0,-32.86,1.59,119.0,58.43
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,100.0,-33.88,1.62,120.8,58.41
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,100.0,-34.57,1.63,121.4,58.41
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,100.0,-35.13,1.63,122.2,58.45
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,100.0,-35.67,1.64,123.6,58.49
2020,1,2,7,51.03,74.62,0.41,84.95,0.0,100.0,-35.87,1.62,123.7,58.53
2020,1,2,8,199.77,273.17,0.55,75.16,0.0,95.62,-33.74,1.45,124.3,58.57
2020,1,2,9,380.73,451.45,0.69,66.93,0.0,83.73,-29.39,2.79,123.0,58.6
2020,1,2,10,511.02,573.35,0.75,60.93,0.0,94.03,-25.69,2.36,118.6,58.56
2020,1,2,11,591.25,633.62,0.79,57.88,0.0,93.79,-21.18,2.07,113.3,58.47
2020,1,2,12,536.65,625.1,0.72,58.24,0.0,71.47,-16.96,1.44,141.5,58.36
2020,1,2,13,437.45,549.33,0.66,61.96,0.0,59.85,-14.76,0.96,197.7,58.29
2020,1,2,14,321.15,410.17,0.62,68.48,0.0,56.71,-14.18,1.03,257.7,58.25
2020,1,2,15,162.5,221.5,0.52,77.09,0.0,62.84,-14.71,1.08,292.8,58.25
2020,1,2,16,29.0,36.42,0.38,86.85,0.0,69.09,-16.82,0.91,334.6,58.27
2020,1,2,17,0.0,0.0,-999.0,90.0,0.0,65.59,-18.68,1.04,353.4,58.3
2020,1,2,18,0.0,0.0,-999.0,90.0,0.0,68.6,-19.94,0.93,7.4,58.33
2020,1,2,19,0.0,0.0,-999.0,90.0,0.0,74.58,-21.08,0.77,21.3,58.36
2020,1,2,20,0.0,0.0,-999.0,90.0,0.0,78.88,-22.08,0.65,42.5,58.37
2020,1,2,21,0.0,0.0,-999.0,90.0,0.0,84.47,-23.07,0.63,71.6,58.37
2020,1,2,22,0.0,0.0,-999.0,90.0,0.0,90.24,-24.04,0.72,92.4,58.36
2020,1,2,23,0.0,0.0,-999.0,90.0,0.0,95.73,-24.79,0.84,102.4,58.33
2020,1,3,0,0.0,0.0,-999.0,90.0,0.0,100.0,-25.55,0.97,108.6,58.3
2020,1,3,1,0.0,0.0,-999.0,90.0,0.0,100.0,-26.35,1.08,111.1,58.28
2020,1,3,2,0.0,0.0,-999.0,90.0,0.0,100.0,-27.24,1.1,112.4,58.26
2020,1,3,3,0.0,0.0,-999.0,90.0,0.0,100.0,-28.62,1.31,115.4,58.23
2020,1,3,4,0.0,0.0,-999.0,90.0,0.0,100.0,-30.3,1.53,117.2,58.19
2020,1,3,5,0.0,0.0,-999.0,90.0,0.0,100.0,-31.77,1.57,120.2,58.17
2020,1,3,6,0.0,0.0,-999.0,90.0,0.0,100.0,-33.52,1.63,124.0,58.18
2020,1,3,7,58.05,75.2,0.47,84.98,0.0,100.0,-35.03,1.72,126.3,58.2
2020,1,3,8,209.12,278.27,0.58,75.16,0.04,87.65,-33.73,2.03,131.4,58.23
2020,1,3,9,372.08,456.02,0.67,66.91,0.03,80.67,-29.36,2.82,131.3,58.26
