YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,71.04,6.49,1.12,20.4,100.63
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,73.0,5.89,1.17,25.3,100.61
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,74.15,5.56,1.17,31.0,100.6
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,74.96,5.3,1.17,42.6,100.6
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,78.01,4.73,1.21,60.3,100.61
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,79.58,4.56,1.22,68.3,100.7
2020,1,1,6,7.15,8.35,0.2,88.52,0.0,81.52,4.96,1.15,79.0,100.78
2020,1,1,7,83.5,112.18,0.3,78.41,0.0,77.88,7.25,1.34,92.6,100.88
2020,1,1,8,193.82,273.33,0.37,67.85,0.0,67.14,9.3,2.37,108.0,100.98
2020,1,1,9,312.3,425.83,0.43,58.96,0.0,65.83,11.09,2.43,113.0,101.05
2020,1,1,10,351.55,528.4,0.41,52.61,0.0,61.24,14.04,3.09,101.2,100.98
2020,1,1,11,386.7,569.78,0.43,49.79,0.0,56.64,16.42,3.52,101.5,100.88
2020,1,1,12,343.2,550.15,0.39,51.09,0.0,56.93,17.1,3.42,119.2,100.83
2020,1,1,13,341.9,462.2,0.44,56.22,0.0,60.46,16.55,3.67,130.4,100.77
2020,1,1,14,239.43,331.88,0.39,64.28,0.0,65.1,15.82,3.48,140.7,100.73
2020,1,1,15,127.12,169.82,0.33,74.3,0.0,73.26,14.63,2.63,157.4,100.72
2020,1,1,16,26.15,30.73,0.24,85.49,0.0,86.76,12.16,1.49,171.9,100.74
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,92.59,10.67,1.32,181.7,100.82
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,95.25,10.08,1.23,187.9,100.94
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,98.69,9.38,1.04,188.3,101.02
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,100.0,8.93,0.9,174.3,101.05
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,100.0,8.86,0.85,133.1,101.06
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,100.0,8.21,0.93,93.1,101.04
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,100.0,7.35,1.01,80.9,100.99
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,100.0,7.27,1.03,79.9,100.93
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,100.0,7.31,1.05,76.8,100.84
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,100.0,7.36,1.04,73.8,100.76
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,100.0,7.42,1.02,70.5,100.7
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,100.0,7.46,0.98,67.9,100.71
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,100.0,7.43,0.98,63.4,100.77
2020,1,2,6,7.65,7.85,0.21,88.54,0.0,100.0,7.55,0.95,59.7,100.84
2020,1,2,7,98.2,104.45,0.35,78.45,0.0,95.5,10.1,1.24,65.7,100.93
2020,1,2,8,240.15,261.9,0.45,67.87,0.01,86.27,12.35,1.36,90.0,101.03
2020,1,2,9,368.83,402.5,0.51,58.95,0.0,71.9,15.93,2.25,131.0,101.09
2020,1,2,10,480.55,501.0,0.56,52.57,0.01,63.96,17.88,2.67,132.7,101.02
2020,1,2,11,528.47,541.35,0.58,49.71,0.07,60.36,18.97,2.8,124.4,100.85
2020,1,2,12,480.9,519.92,0.54,50.98,0.08,59.06,19.56,2.83,110.9,100.65
2020,1,2,13,359.23,434.3,0.46,56.1,0.05,62.34,19.19,1.92,115.9,100.6
2020,1,2,14,265.25,306.05,0.43,64.14,0.04,77.0,17.26,1.06,122.6,100.56
2020,1,2,15,134.5,155.38,0.35,74.16,0.05,85.49,15.86,1.2,134.3,100.53
2020,1,2,16,24.55,28.75,0.22,85.37,0.06,91.85,14.55,0.9,135.5,100.55
2020,1,2,17,0.0,0.0,-999.0,90.0,0.08,95.68,13.65,0.78,134.0,100.59
2020,1,2,18,0.0,0.0,-999.0,90.0,0.31,99.77,12.92,0.84,141.8,100.65
2020,1,2,19,0.0,0.0,-999.0,90.0,0.71,100.0,12.77,0.87,140.6,100.71
2020,1,2,20,0.0,0.0,-999.0,90.0,1.48,100.0,12.86,0.83,124.3,100.72
2020,1,2,21,0.0,0.0,-999.0,90.0,2.83,100.0,12.8,0.93,112.1,100.73
2020,1,2,22,0.0,0.0,-999.0,90.0,5.74,100.0,12.8,1.06,104.2,100.69
2020,1,2,23,0.0,0.0,-999.0,90.0,9.25,100.0,12.79,1.13,97.1,100.64
2020,1,3,0,0.0,0.0,-999.0,90.0,8.74,100.0,12.76,1.18,90.0,100.6
2020,1,3,1,0.0,0.0,-999.0,90.0,4.22,100.0,12.74,1.34,81.9,100.53
2020,1,3,2,0.0,0.0,-999.0,90.0,0.99,100.0,12.71,1.61,77.8,100.45
2020,1,3,3,0.0,0.0,-999.0,90.0,0.33,99.81,12.59,1.84,77.8,100.37
2020,1,3,4,0.0,0.0,-999.0,90.0,0.24,99.47,12.42,2.0,80.5,100.36
2020,1,3,5,0.0,0.0,-999.0,90.0,0.25,98.68,12.38,1.83,86.9,100.41
2020,1,3,6,5.55,7.07,0.16,88.57,0.28,98.72,12.2,1.57,102.5,100.52
2020,1,3,7,63.35,94.53,0.23,78.49,0.36,95.57,12.93,2.92,112.2,100.59
2020,1,3,8,162.45,246.43,0.31,67.89,6.22,92.9,13.68,3.59,111.9,100.65
2020,1,3,9,232.6,390.33,0.32,58.94,10.17,85.2,15.34,4.12,110.1,100.67
2020,1,3,10,299.12,500.15,0.35,52.52,19.67,75.54,17.13,4.22,107.9,100.59
2020,1,3,11,388.38,469.35,0.43,49.63,23.74,69.44,18.15,3.81,109.0,100.47
2020,1,3,12,375.65,446.62,0.42,50.87,27.24,67.11,18.5,3.34,109.4,100.35
2020,1,3,13,266.02,366.62,0.34,55.97,14.75,68.09,18.2,2.87,109.9,100.27
2020,1,3,14,203.62,254.02,0.33,64.0,4.67,70.57,17.73,2.4,110.2,100.22
2020,1,3,15,106.95,124.3,0.28,74.02,1.52,75.66,17.06,1.7,110.7,100.2
2020,1,3,16,21.6,24.27,0.19,85.24,0.95,86.12,15.6,0.82,111.5,100.23
2020,1,3,17,0.0,0.0,-999.0,90.0,0.43,88.23,14.74,0.75,111.8,100.3
2020,1,3,18,0.0,0.0,-999.0,90.0,0.13,88.82,14.36,0.77,113.6,100.36
2020,1,3,19,0.0,0.0,-999.0,90.0,0.09,89.78,13.96,0.81,113.4,100.39
2020,1,3,20,0.0,0.0,-999.0,90.0,0.06,91.85,13.53,0.83,117.2,100.43
2020,1,3,21,0.0,0.0,-999.0,90.0,0.05,94.35,13.14,0.84,122.4,100.46
2020,1,3,22,0.0,0.0,-999.0,90.0,0.05,96.59,12.85,0.83,124.6,100.47
2020,1,3,23,0.0,0.0,-999.0,90.0,0.8,98.39,12.62,0.78,124.5,100.46
2020,1,4,0,0.0,0.0,-999.0,90.0,3.63,98.92,12.5,0.72,123.7,100.44
2020,1,4,1,0.0,0.0,-999.0,90.0,3.99,99.09,12.35,0.66,125.1,100.4
2020,1,4,2,0.0,0.0,-999.0,90.0,3.68,99.26,12.18,0.51,123.1,100.36
2020,1,4,3,0.0,0.0,-999.0,90.0,3.37,98.34,12.16,0.42,112.3,100.33
2020,1,4,4,0.0,0.0,-999.0,90.0,2.95,97.62,12.08,0.4,94.3,100.33
