YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,87.82,16.11,1.1,57.6,100.17
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,90.54,15.5,1.16,72.5,100.11
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,92.26,15.08,1.18,76.3,100.09
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,93.78,14.7,1.2,82.3,100.08
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,95.91,14.23,1.27,92.7,100.11
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,97.66,13.82,1.36,101.1,100.17
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,98.59,13.56,1.44,108.2,100.26
2020,1,1,7,95.5,105.62,0.43,80.87,0.0,87.83,16.2,1.81,113.7,100.36
2020,1,1,8,273.3,312.95,0.55,69.17,0.0,72.41,19.37,2.29,116.7,100.45
2020,1,1,9,459.02,510.75,0.62,58.39,0.0,61.03,21.96,1.24,133.4,100.49
2020,1,1,10,591.0,597.15,0.65,49.6,0.0,55.97,23.53,0.7,175.9,100.47
2020,1,1,11,718.42,749.17,0.71,44.03,0.0,54.29,24.59,0.91,238.9,100.4
2020,1,1,12,725.75,755.28,0.7,42.94,0.0,53.86,25.24,1.49,264.2,100.31
2020,1,1,13,655.12,698.65,0.68,46.66,0.0,53.98,25.51,1.85,275.0,100.22
2020,1,1,14,509.88,575.15,0.62,54.19,0.0,54.62,25.39,1.92,280.8,100.15
2020,1,1,15,347.12,397.2,0.57,64.22,0.0,55.97,24.93,1.83,286.5,100.12
2020,1,1,16,164.25,188.7,0.47,75.74,0.0,61.75,23.91,1.53,296.1,100.13
2020,1,1,17,19.12,20.0,0.29,87.35,0.0,76.31,21.28,1.2,307.5,100.19
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,79.91,19.84,1.28,319.1,100.29
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,81.58,19.23,1.33,332.7,100.39
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,83.5,18.67,1.32,347.3,100.46
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,86.03,18.1,1.33,0.9,100.48
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,88.54,17.57,1.36,11.9,100.47
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,90.43,17.1,1.34,22.8,100.42
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,91.86,16.73,1.29,32.3,100.36
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,92.58,16.44,1.25,37.5,100.3
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,92.92,16.22,1.23,38.1,100.28
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,92.59,16.07,1.22,43.0,100.28
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,91.76,15.98,1.2,51.8,100.33
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,90.2,15.96,1.19,59.8,100.41
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,88.31,16.0,1.19,64.1,100.52
2020,1,2,7,87.57,96.53,0.4,80.95,0.0,83.69,18.04,1.31,68.5,100.61
2020,1,2,8,272.73,294.83,0.55,69.21,0.0,71.19,20.62,1.49,60.2,100.68
2020,1,2,9,465.12,487.83,0.63,58.41,0.0,65.91,22.78,0.93,18.2,100.7
2020,1,2,10,599.28,636.05,0.66,49.59,0.0,63.42,24.13,0.86,345.2,100.65
2020,1,2,11,685.78,723.17,0.68,43.97,0.0,61.41,25.19,1.05,314.6,100.54
2020,1,2,12,682.42,720.67,0.66,42.85,0.0,60.29,25.88,1.54,292.6,100.4
2020,1,2,13,623.1,663.58,0.64,46.53,0.0,59.91,26.18,1.96,283.3,100.29
2020,1,2,14,484.35,541.33,0.59,54.06,0.0,61.02,25.95,2.25,279.7,100.22
2020,1,2,15,275.65,367.4,0.45,64.08,0.0,63.75,25.25,2.45,283.2,100.22
2020,1,2,16,132.55,168.73,0.38,75.6,0.0,70.05,24.0,2.25,291.1,100.26
2020,1,2,17,15.2,18.48,0.23,87.26,0.0,84.39,21.47,1.54,300.9,100.33
2020,1,2,18,0.0,0.0,-999.0,90.0,0.01,88.58,20.29,1.71,312.6,100.44
2020,1,2,19,0.0,0.0,-999.0,90.0,0.02,90.56,19.84,1.78,324.6,100.55
2020,1,2,20,0.0,0.0,-999.0,90.0,0.01,92.4,19.33,1.71,335.8,100.6
2020,1,2,21,0.0,0.0,-999.0,90.0,0.01,94.25,18.79,1.59,347.3,100.62
2020,1,2,22,0.0,0.0,-999.0,90.0,0.01,95.75,18.22,1.45,0.0,100.58
2020,1,2,23,0.0,0.0,-999.0,90.0,0.02,97.13,17.65,1.37,11.4,100.52
2020,1,3,0,0.0,0.0,-999.0,90.0,0.06,97.86,17.16,1.35,21.2,100.47
2020,1,3,1,0.0,0.0,-999.0,90.0,0.17,97.92,16.73,1.36,28.4,100.41
2020,1,3,2,0.0,0.0,-999.0,90.0,0.2,97.39,16.36,1.39,34.7,100.37
2020,1,3,3,0.0,0.0,-999.0,90.0,0.11,96.94,15.94,1.39,40.9,100.35
2020,1,3,4,0.0,0.0,-999.0,90.0,0.06,96.39,15.56,1.35,47.1,100.38
2020,1,3,5,0.0,0.0,-999.0,90.0,0.03,95.85,15.26,1.3,52.5,100.46
2020,1,3,6,0.0,0.0,-999.0,90.0,0.01,94.97,15.09,1.24,56.8,100.57
2020,1,3,7,77.5,92.75,0.35,81.02,0.0,87.2,17.13,1.63,63.4,100.65
2020,1,3,8,229.7,289.5,0.46,69.26,0.0,74.26,19.55,2.07,50.3,100.72
2020,1,3,9,416.6,484.08,0.57,58.43,0.0,64.49,22.15,2.27,15.9,100.73
2020,1,3,10,607.58,634.83,0.67,49.57,0.0,60.59,23.71,2.17,357.9,100.66
2020,1,3,11,687.35,722.5,0.68,43.92,0.0,56.96,24.84,2.15,343.2,100.54
2020,1,3,12,667.75,678.72,0.65,42.75,0.0,53.61,25.67,2.23,332.7,100.4
2020,1,3,13,599.05,628.8,0.62,46.41,0.0,51.45,26.16,2.31,324.9,100.27
2020,1,3,14,484.9,511.5,0.59,53.92,0.0,50.64,26.26,2.35,319.0,100.19
2020,1,3,15,320.7,342.8,0.52,63.94,0.0,51.44,25.85,2.35,314.7,100.16
2020,1,3,16,140.9,154.0,0.4,75.46,0.0,60.74,24.42,2.06,309.5,100.18
2020,1,3,17,17.27,17.45,0.25,87.17,0.0,76.35,21.21,1.78,307.5,100.23
2020,1,3,18,0.0,0.0,-999.0,90.0,0.0,80.41,19.7,1.99,315.2,100.3
2020,1,3,19,0.0,0.0,-999.0,90.0,0.0,83.34,18.94,2.06,326.5,100.37
2020,1,3,20,0.0,0.0,-999.0,90.0,0.0,85.81,18.17,1.94,338.2,100.4
2020,1,3,21,0.0,0.0,-999.0,90.0,0.0,87.39,17.44,1.79,350.0,100.42
2020,1,3,22,0.0,0.0,-999.0,90.0,0.0,88.81,16.73,1.69,1.7,100.41
2020,1,3,23,0.0,0.0,-999.0,90.0,0.0,89.85,16.06,1.59,13.9,100.37
2020,1,4,0,0.0,0.0,-999.0,90.0,0.0,90.17,15.47,1.48,26.6,100.31
2020,1,4,1,0.0,0.0,-999.0,90.0,0.0,90.13,14.99,1.38,36.5,100.24
2020,1,4,2,0.0,0.0,-999.0,90.0,0.0,89.93,14.61,1.35,42.0,100.19
2020,1,4,3,0.0,0.0,-999.0,90.0,0.0,89.99,14.28,1.34,45.6,100.17
2020,1,4,4,0.0,0.0,-999.0,90.0,0.0,89.9,14.01,1.36,50.9,100.19
2020,1,4,5,0.0,0.0,-999.0,90.0,0.0,90.09,13.73,1.41,57.8,100.25
2020,1,4,6,0.0,0.0,-999.0,90.0,0.0,90.93,13.46,1.49,63.8,100.33
2020,1,4,7,74.6,78.5,0.34,81.09,0.0,84.13,15.63,2.15,70.5,100.4
2020,1,4,8,242.48,258.58,0.49,69.29,0.0,74.61,17.98,2.6,69.3,100.47
2020,1,4,9,427.1,447.52,0.58,58.44,0.0,59.02,21.47,2.21,59.3,100.49
2020,1,4,10,582.0,597.0,0.64,49.55,0.0,50.6,23.93,1.64,45.5,100.43
2020,1,4,11,662.55,684.92,0.65,43.85,0.0,46.4,25.41,1.09,27.3,100.31
2020,1,4,12,621.9,627.1,0.6,42.64,0.0,44.49,26.22,0.91,341.4,100.17
2020,1,4,13,570.8,576.85,0.59,46.27,0.0,43.85,26.5,1.46,314.4,100.05
2020,1,4,14,462.65,462.77,0.56,53.78,0.0,44.28,26.38,1.99,311.5,100.0
2020,1,4,15,301.45,303.27,0.49,63.8,0.0,45.43,25.84,2.27,313.8,100.0
2020,1,4,16,131.4,133.05,0.37,75.32,0.0,55.46,24.3,2.0,311.8,100.04
2020,1,4,17,16.02,16.08,0.22,87.08,0.0,71.61,20.93,1.58,308.8,100.09
2020,1,4,18,0.0,0.0,-999.0,90.0,0.0,74.71,19.47,1.52,314.2,100.16
2020,1,4,19,0.0,0.0,-999.0,90.0,0.0,75.62,19.04,1.35,325.6,100.21
2020,1,4,20,0.0,0.0,-999.0,90.0,0.0,73.52,19.03,1.22,342.9,100.24
2020,1,4,21,0.0,0.0,-999.0,90.0,0.0,73.73,18.7,1.21,9.5,100.24
2020,1,4,22,0.0,0.0,-999.0,90.0,0.0,78.34,17.73,1.3,39.1,100.22
2020,1,4,23,0.0,0.0,-999.0,90.0,0.0,82.93,16.76,1.59,61.5,100.18
2020,1,5,0,0.0,0.0,-999.0,90.0,0.0,85.66,16.12,2.06,73.7,100.14
2020,1,5,1,0.0,0.0,-999.0,90.0,0.0,87.39,15.72,2.63,80.1,100.09
2020,1,5,2,0.0,0.0,-999.0,90.0,0.0,88.86,15.47,3.14,82.1,100.05
2020,1,5,3,0.0,0.0,-999.0,90.0,0.0,89.87,15.31,3.53,81.7,100.06
2020,1,5,4,0.0,0.0,-999.0,90.0,0.0,90.07,15.17,3.78,83.5,100.09
2020,1,5,5,0.0,0.0,-999.0,90.0,0.0,86.74,15.38,4.36,85.4,100.16
2020,1,5,6,0.0,0.0,-999.0,90.0,0.0,86.07,15.2,4.43,85.9,100.25
2020,1,5,7,77.3,79.45,0.36,81.15,0.0,79.73,16.36,5.01,85.4,100.34
2020,1,5,8,262.77,266.73,0.53,69.32,0.0,70.24,18.88,5.13,85.5,100.4
2020,1,5,9,476.8,480.67,0.65,58.44,0.0,59.94,22.08,5.66,89.3,100.4
2020,1,5,10,633.4,633.62,0.69,49.52,0.0,54.37,24.7,5.11,93.7,100.35
2020,1,5,11,701.83,702.25,0.69,43.78,0.0,50.67,26.6,4.23,97.7,100.25
2020,1,5,12,734.58,736.35,0.71,42.52,0.0,48.4,27.74,3.44,101.9,100.13
2020,1,5,13,679.38,679.53,0.7,46.13,0.0,47.93,28.25,2.93,106.0,100.03
2020,1,5,14,561.1,565.33,0.67,53.63,0.0,47.91,28.35,2.56,106.1,99.96
2020,1,5,15,374.15,376.95,0.6,63.65,0.0,50.16,27.91,2.09,100.8,99.96
2020,1,5,16,174.05,176.52,0.48,75.18,0.0,58.52,26.7,1.45,92.0,100.0
2020,1,5,17,20.05,20.33,0.27,86.99,0.0,72.21,23.67,1.11,84.9,100.02
2020,1,5,18,0.0,0.0,-999.0,90.0,0.0,72.97,22.02,1.39,79.3,100.07
2020,1,5,19,0.0,0.0,-999.0,90.0,0.0,75.14,21.01,1.6,69.5,100.17
2020,1,5,20,0.0,0.0,-999.0,90.0,0.0,76.05,20.22,2.0,69.2,100.22
2020,1,5,21,0.0,0.0,-999.0,90.0,0.0,75.44,19.67,2.54,76.6,100.24
2020,1,5,22,0.0,0.0,-999.0,90.0,0.0,74.81,19.23,3.16,82.0,100.22
2020,1,5,23,0.0,0.0,-999.0,90.0,0.0,75.72,18.77,3.69,84.9,100.2
2020,1,6,0,0.0,0.0,-999.0,90.0,0.0,77.67,18.22,4.08,86.5,100.16
2020,1,6,1,0.0,0.0,-999.0,90.0,0.2,79.76,17.65,4.32,86.7,100.11
2020,1,6,2,0.0,0.0,-999.0,90.0,0.31,81.29,17.17,4.54,87.9,100.07
2020,1,6,3,0.0,0.0,-999.0,90.0,0.36,82.12,16.85,4.65,90.2,100.06
2020,1,6,4,0.0,0.0,-999.0,90.0,0.23,82.42,16.61,4.7,91.5,100.12
2020,1,6,5,0.0,0.0,-999.0,90.0,0.0,82.19,16.44,4.85,92.1,100.21
2020,1,6,6,0.0,0.0,-999.0,90.0,0.0,81.52,16.34,5.09,94.4,100.31
2020,1,6,7,77.12,79.03,0.36,81.2,0.0,77.33,17.27,5.54,99.0,100.41
2020,1,6,8,274.27,278.7,0.55,69.35,0.0,68.66,19.93,5.47,104.0,100.47
2020,1,6,9,467.77,470.6,0.64,58.44,0.0,58.72,23.44,5.54,108.4,100.48
2020,1,6,10,625.05,625.28,0.68,49.48,0.0,53.19,26.33,5.47,114.2,100.42
2020,1,6,11,698.12,701.67,0.69,43.7,0.0,50.4,28.37,4.8,121.5,100.3
2020,1,6,12,704.88,710.75,0.68,42.4,0.0,48.71,29.68,3.86,130.0,100.16
2020,1,6,13,645.55,652.78,0.66,45.99,0.0,47.9,30.4,3.05,138.5,100.07
2020,1,6,14,560.05,560.15,0.67,53.48,0.0,48.24,30.49,2.36,145.7,100.01
2020,1,6,15,382.27,382.42,0.61,63.5,0.0,51.17,30.03,1.61,150.6,100.02
2020,1,6,16,176.12,176.25,0.48,75.04,0.0,52.34,29.48,0.89,151.7,100.06
2020,1,6,17,17.67,17.67,0.23,86.89,0.0,55.7,28.11,0.18,340.6,100.14
2020,1,6,18,0.0,0.0,-999.0,90.0,0.0,66.66,25.61,0.92,348.1,100.24
2020,1,6,19,0.0,0.0,-999.0,90.0,0.0,76.96,23.57,1.19,359.5,100.33
2020,1,6,20,0.0,0.0,-999.0,90.0,0.0,80.12,22.51,1.45,13.9,100.38
2020,1,6,21,0.0,0.0,-999.0,90.0,0.0,82.06,21.76,1.64,29.5,100.4
2020,1,6,22,0.0,0.0,-999.0,90.0,0.0,83.34,21.11,1.74,45.5,100.38
2020,1,6,23,0.0,0.0,-999.0,90.0,0.0,83.52,20.55,1.78,62.3,100.32
2020,1,7,0,0.0,0.0,-999.0,90.0,0.0,82.53,20.07,1.89,75.6,100.25
2020,1,7,1,0.0,0.0,-999.0,90.0,0.0,81.26,19.65,2.05,85.0,100.19
2020,1,7,2,0.0,0.0,-999.0,90.0,0.0,80.08,19.36,2.24,91.3,100.13
2020,1,7,3,0.0,0.0,-999.0,90.0,0.0,79.36,19.14,2.43,95.4,100.09
2020,1,7,4,0.0,0.0,-999.0,90.0,0.0,79.25,18.93,2.64,98.3,100.09
2020,1,7,5,0.0,0.0,-999.0,90.0,0.0,79.47,18.72,2.88,100.2,100.16
2020,1,7,6,0.0,0.0,-999.0,90.0,0.0,79.65,18.58,3.22,103.5,100.26
2020,1,7,7,69.95,76.03,0.33,81.25,0.0,74.95,19.82,4.12,110.1,100.33
2020,1,7,8,220.88,252.12,0.45,69.37,0.0,70.99,21.79,4.31,117.2,100.37
2020,1,7,9,383.25,433.92,0.52,58.43,0.0,66.49,24.83,3.98,129.9,100.38
2020,1,7,10,550.65,570.12,0.6,49.44,0.0,59.45,28.12,3.49,151.2,100.34
2020,1,7,11,574.5,585.33,0.56,43.61,0.0,57.09,29.63,3.12,175.6,100.25
2020,1,7,12,615.83,627.78,0.59,42.28,0.0,57.39,30.1,3.09,194.0,100.12
2020,1,7,13,553.67,574.92,0.56,45.84,0.0,58.42,30.06,3.09,205.7,100.02
2020,1,7,14,452.42,456.85,0.54,53.32,0.0,59.68,29.69,2.94,215.7,99.96
2020,1,7,15,299.25,304.58,0.47,63.34,0.0,62.41,28.85,2.71,229.5,99.96
2020,1,7,16,129.27,132.98,0.35,74.89,0.0,69.67,27.44,2.14,246.9,100.0
2020,1,7,17,16.95,17.33,0.22,86.79,0.0,82.89,24.84,1.41,269.2,100.06
2020,1,7,18,0.0,0.0,-999.0,90.0,0.0,86.52,23.48,1.37,290.9,100.14
2020,1,7,19,0.0,0.0,-999.0,90.0,0.0,87.84,22.86,1.37,312.9,100.21
2020,1,7,20,0.0,0.0,-999.0,90.0,0.0,89.15,22.28,1.35,332.1,100.25
2020,1,7,21,0.0,0.0,-999.0,90.0,0.0,90.68,21.74,1.31,348.1,100.26
2020,1,7,22,0.0,0.0,-999.0,90.0,0.0,92.11,21.25,1.21,1.9,100.24
2020,1,7,23,0.0,0.0,-999.0,90.0,0.0,93.03,20.86,1.1,14.2,100.2
2020,1,8,0,0.0,0.0,-999.0,90.0,0.01,94.11,20.53,1.03,19.8,100.16
2020,1,8,1,0.0,0.0,-999.0,90.0,0.02,95.06,20.27,1.0,11.5,100.12
2020,1,8,2,0.0,0.0,-999.0,90.0,0.02,96.47,19.99,1.0,6.3,100.07
2020,1,8,3,0.0,0.0,-999.0,90.0,0.02,98.07,19.71,1.01,8.0,100.04
2020,1,8,4,0.0,0.0,-999.0,90.0,0.01,99.39,19.52,0.99,13.5,100.06
2020,1,8,5,0.0,0.0,-999.0,90.0,0.01,100.0,19.42,0.97,19.9,100.12
2020,1,8,6,0.0,0.0,-999.0,90.0,0.0,100.0,19.36,0.96,25.2,100.21
2020,1,8,7,69.28,73.6,0.33,81.3,0.0,93.19,21.18,1.21,27.0,100.3
2020,1,8,8,228.88,256.27,0.46,69.38,0.0,83.39,23.39,1.49,346.4,100.37
2020,1,8,9,403.6,450.88,0.55,58.42,0.0,75.71,25.13,2.05,314.6,100.41
2020,1,8,10,562.35,605.72,0.61,49.39,0.0,70.92,26.26,2.59,304.6,100.38
2020,1,8,11,639.5,698.0,0.63,43.51,0.0,66.99,26.99,2.9,299.1,100.29
2020,1,8,12,668.38,710.8,0.64,42.14,0.0,64.11,27.4,3.02,295.1,100.17
2020,1,8,13,651.85,655.15,0.66,45.68,0.0,62.54,27.48,2.99,292.8,100.07
2020,1,8,14,524.28,534.12,0.62,53.16,0.0,62.05,27.2,3.01,293.3,100.02
2020,1,8,15,355.73,362.7,0.56,63.19,0.0,62.84,26.62,2.91,294.8,100.02
2020,1,8,16,164.4,169.12,0.44,74.74,0.0,67.04,25.47,2.48,298.1,100.05
2020,1,8,17,21.0,21.3,0.26,86.69,0.0,80.77,22.93,1.56,303.8,100.1
2020,1,8,18,0.0,0.0,-999.0,90.0,0.0,85.15,21.42,1.55,314.7,100.18
2020,1,8,19,0.0,0.0,-999.0,90.0,0.0,86.45,20.67,1.59,328.1,100.27
2020,1,8,20,0.0,0.0,-999.0,90.0,0.0,87.47,19.98,1.58,341.9,100.31
2020,1,8,21,0.0,0.0,-999.0,90.0,0.0,88.1,19.33,1.56,356.3,100.32
2020,1,8,22,0.0,0.0,-999.0,90.0,0.0,88.31,18.7,1.6,9.0,100.3
2020,1,8,23,0.0,0.0,-999.0,90.0,0.0,88.12,18.09,1.64,18.9,100.26
2020,1,9,0,0.0,0.0,-999.0,90.0,0.0,87.66,17.52,1.71,26.4,100.23
2020,1,9,1,0.0,0.0,-999.0,90.0,0.0,87.12,17.0,1.79,31.7,100.2
2020,1,9,2,0.0,0.0,-999.0,90.0,0.0,86.8,16.48,1.81,35.8,100.18
