YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,52.59,6.55,1.09,47.2,99.51
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,55.12,5.87,1.15,54.5,99.5
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,56.64,5.43,1.15,63.2,99.5
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,57.38,5.2,1.12,73.3,99.5
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,58.06,4.99,1.1,83.7,99.53
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,58.86,4.76,1.08,92.7,99.6
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,59.88,4.57,1.07,100.8,99.68
2020,1,1,7,75.43,79.88,0.36,81.43,0.0,60.2,5.55,0.83,108.2,99.77
2020,1,1,8,217.77,238.07,0.48,71.16,0.0,49.73,8.26,1.74,114.5,99.85
2020,1,1,9,368.52,396.12,0.56,62.14,0.0,42.09,11.14,1.89,116.4,99.92
2020,1,1,10,475.15,514.03,0.6,55.45,0.0,31.44,15.34,2.53,117.6,99.91
2020,1,1,11,425.67,466.65,0.49,52.01,0.0,27.78,17.45,2.67,112.4,99.82
2020,1,1,12,419.92,475.3,0.49,52.46,0.0,25.13,18.89,2.73,109.0,99.71
2020,1,1,13,378.33,419.45,0.49,56.7,0.0,23.92,19.62,2.68,108.3,99.63
2020,1,1,14,295.67,310.7,0.48,63.99,0.0,24.53,19.49,2.48,108.1,99.58
2020,1,1,15,159.88,165.45,0.4,73.42,0.0,35.17,17.97,1.36,107.5,99.57
2020,1,1,16,38.22,38.0,0.27,84.25,0.0,46.62,14.36,1.08,108.4,99.59
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,45.6,12.62,1.29,110.4,99.65
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,48.25,11.85,1.3,111.6,99.75
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,50.88,11.13,1.31,110.5,99.8
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,54.53,10.2,1.34,106.5,99.84
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,60.71,9.12,1.33,102.6,99.84
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,67.79,8.08,1.31,101.9,99.82
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,74.58,7.24,1.31,105.0,99.78
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,79.91,6.74,1.32,108.6,99.74
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,84.21,6.38,1.27,110.3,99.71
