YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,71.81,8.89,1.27,304.1,101.32
2020,1,1,1,0.0,0.0,-999.0,90.0,1.02,75.88,8.16,1.27,321.7,101.29
2020,1,1,2,0.0,0.0,-999.0,90.0,1.02,79.2,7.78,1.26,337.5,101.24
2020,1,1,3,0.0,0.0,-999.0,90.0,1.02,81.86,7.46,1.19,350.8,101.2
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,83.54,7.19,1.08,1.6,101.19
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,82.64,7.3,0.98,5.9,101.24
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,81.61,7.5,0.68,347.2,101.35
2020,1,1,7,13.82,42.25,0.13,85.5,0.0,84.04,7.53,0.67,295.8,101.49
2020,1,1,8,71.53,223.8,0.19,74.16,0.23,76.35,9.5,1.46,282.2,101.61
2020,1,1,9,131.48,407.55,0.21,63.95,0.01,69.62,11.73,0.9,277.0,101.68
2020,1,1,10,153.77,552.22,0.19,55.66,0.02,58.2,15.56,0.27,51.0,101.69
2020,1,1,11,231.52,640.2,0.26,50.27,0.03,48.88,19.79,1.71,90.0,101.59
2020,1,1,12,374.75,655.55,0.4,48.77,0.0,47.57,21.74,2.31,104.3,101.45
2020,1,1,13,347.62,602.22,0.4,51.48,0.0,47.94,22.14,2.32,105.8,101.31
2020,1,1,14,410.92,487.58,0.55,57.82,0.02,48.65,22.06,2.45,103.9,101.17
2020,1,1,15,263.48,326.0,0.47,66.76,0.09,51.71,21.58,1.24,138.6,101.15
2020,1,1,16,118.3,144.07,0.39,77.39,0.5,63.76,19.49,1.75,259.1,101.31
2020,1,1,17,10.38,12.85,0.21,88.0,0.97,73.53,16.64,2.31,280.5,101.41
2020,1,1,18,0.0,0.0,-999.0,90.0,1.15,81.61,15.16,1.86,301.8,101.44
2020,1,1,19,0.0,0.0,-999.0,90.0,1.31,85.69,14.65,1.75,302.4,101.55
2020,1,1,20,0.0,0.0,-999.0,90.0,0.76,87.34,14.48,1.57,296.6,101.68
