YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.27,80.87,27.53,5.09,77.1,101.31
2020,1,1,1,0.0,0.0,-999.0,90.0,0.27,80.88,27.45,4.83,78.1,101.23
2020,1,1,2,0.0,0.0,-999.0,90.0,0.22,80.64,27.4,4.66,79.4,101.18
2020,1,1,3,0.0,0.0,-999.0,90.0,0.18,80.41,27.39,4.62,80.4,101.16
2020,1,1,4,0.0,0.0,-999.0,90.0,0.15,80.07,27.42,4.66,80.7,101.18
2020,1,1,5,0.0,0.0,-999.0,90.0,0.1,79.92,27.47,4.68,80.2,101.23
2020,1,1,6,24.88,28.52,0.25,85.9,0.08,79.58,27.62,4.81,80.1,101.31
2020,1,1,7,172.23,200.02,0.42,73.09,0.02,78.6,27.94,5.16,82.0,101.4
2020,1,1,8,356.62,408.73,0.52,60.63,0.09,78.05,28.2,5.39,85.3,101.46
2020,1,1,9,522.78,590.92,0.57,49.36,0.02,77.22,28.45,5.55,87.8,101.47
2020,1,1,10,675.15,720.45,0.63,40.31,0.05,76.39,28.66,5.58,89.4,101.45
2020,1,1,11,742.28,798.53,0.65,35.26,0.07,75.64,28.81,5.48,91.3,101.38
2020,1,1,12,721.95,789.9,0.63,35.94,0.16,75.17,28.89,5.33,93.1,101.27
2020,1,1,13,674.28,710.75,0.65,42.08,0.22,75.01,28.92,5.14,93.6,101.18
2020,1,1,14,529.92,568.4,0.61,51.76,0.22,75.03,28.91,5.04,92.3,101.15
2020,1,1,15,345.55,375.83,0.55,63.37,0.18,75.43,28.84,5.1,89.7,101.16
2020,1,1,16,152.68,163.18,0.45,76.01,0.24,76.23,28.71,5.23,86.4,101.2
2020,1,1,17,13.02,13.2,0.25,87.91,0.25,77.58,28.52,5.37,82.8,101.27
2020,1,1,18,0.0,0.0,-999.0,90.0,0.38,78.79,28.34,5.58,79.0,101.36
2020,1,1,19,0.0,0.0,-999.0,90.0,0.52,79.5,28.22,5.77,75.0,101.46
2020,1,1,20,0.0,0.0,-999.0,90.0,0.75,79.89,28.13,5.81,71.0,101.52
2020,1,1,21,0.0,0.0,-999.0,90.0,0.7,79.98,28.06,5.64,68.1,101.54
2020,1,1,22,0.0,0.0,-999.0,90.0,0.65,79.66,28.03,5.37,66.9,101.55
2020,1,1,23,0.0,0.0,-999.0,90.0,0.53,79.27,28.0,5.14,67.1,101.52
2020,1,2,0,0.0,0.0,-999.0,90.0,0.77,79.16,27.92,4.98,68.7,101.45
2020,1,2,1,0.0,0.0,-999.0,90.0,0.86,79.42,27.82,4.9,70.1,101.36
2020,1,2,2,0.0,0.0,-999.0,90.0,0.83,79.75,27.73,4.85,71.1,101.29
2020,1,2,3,0.0,0.0,-999.0,90.0,0.7,80.05,27.68,4.9,71.1,101.27
2020,1,2,4,0.0,0.0,-999.0,90.0,0.73,80.51,27.66,5.04,70.4,101.3
2020,1,2,5,0.0,0.0,-999.0,90.0,0.77,81.16,27.67,5.27,70.4,101.37
2020,1,2,6,29.75,31.65,0.3,85.96,0.58,81.65,27.78,5.61,71.5,101.46
2020,1,2,7,203.93,219.52,0.5,73.17,0.3,81.17,28.04,6.14,74.5,101.55
2020,1,2,8,416.12,437.75,0.6,60.69,0.16,80.17,28.29,6.55,79.0,101.61
2020,1,2,9,605.15,625.6,0.66,49.39,0.07,78.43,28.5,6.88,82.4,101.63
2020,1,2,10,731.3,759.15,0.68,40.3,0.02,76.55,28.66,6.99,84.7,101.6
2020,1,2,11,793.4,819.65,0.69,35.2,0.01,75.24,28.74,6.81,85.5,101.51
2020,1,2,12,789.78,814.05,0.69,35.83,0.0,73.55,28.83,6.52,85.2,101.38
2020,1,2,13,721.2,734.97,0.69,41.95,0.0,72.14,28.87,6.29,84.1,101.28
2020,1,2,14,561.88,590.17,0.64,51.62,0.0,71.35,28.88,6.16,82.4,101.23
2020,1,2,15,353.27,394.75,0.56,63.23,0.0,71.3,28.84,6.11,80.8,101.22
2020,1,2,16,159.32,175.35,0.46,75.88,0.0,71.98,28.73,6.09,78.7,101.25
2020,1,2,17,14.15,14.52,0.27,87.84,0.0,73.64,28.5,6.03,76.2,101.3
2020,1,2,18,0.0,0.0,-999.0,90.0,0.0,75.63,28.29,5.98,72.9,101.38
2020,1,2,19,0.0,0.0,-999.0,90.0,0.0,77.33,28.12,5.91,69.3,101.46
2020,1,2,20,0.0,0.0,-999.0,90.0,0.0,78.69,27.96,5.78,66.7,101.52
2020,1,2,21,0.0,0.0,-999.0,90.0,0.0,79.48,27.85,5.61,66.0,101.56
2020,1,2,22,0.0,0.0,-999.0,90.0,0.0,79.72,27.76,5.48,67.9,101.54
2020,1,2,23,0.0,0.0,-999.0,90.0,0.04,79.81,27.67,5.44,71.6,101.51
2020,1,3,0,0.0,0.0,-999.0,90.0,0.06,79.79,27.59,5.45,75.2,101.45
2020,1,3,1,0.0,0.0,-999.0,90.0,0.08,79.76,27.5,5.44,78.1,101.37
2020,1,3,2,0.0,0.0,-999.0,90.0,0.11,79.6,27.43,5.41,80.5,101.3
2020,1,3,3,0.0,0.0,-999.0,90.0,0.14,79.37,27.39,5.43,81.5,101.28
2020,1,3,4,0.0,0.0,-999.0,90.0,0.3,79.21,27.38,5.55,81.9,101.29
2020,1,3,5,0.0,0.0,-999.0,90.0,0.54,79.11,27.39,5.76,82.0,101.33
2020,1,3,6,29.38,31.05,0.3,86.02,0.59,78.65,27.51,6.03,81.5,101.4
2020,1,3,7,200.3,217.82,0.49,73.24,0.55,77.07,27.79,6.37,80.9,101.5
2020,1,3,8,399.38,434.6,0.58,60.74,0.3,75.5,28.02,6.42,80.4,101.57
2020,1,3,9,605.08,620.5,0.66,49.41,0.11,74.18,28.24,6.4,80.6,101.58
2020,1,3,10,709.03,752.28,0.66,40.28,0.04,72.91,28.43,6.34,81.5,101.53
2020,1,3,11,796.22,821.22,0.69,35.13,0.01,72.02,28.57,6.15,83.5,101.4
2020,1,3,12,797.53,812.65,0.7,35.72,0.0,71.25,28.68,5.88,86.2,101.24
2020,1,3,13,722.9,733.45,0.69,41.81,0.0,70.59,28.75,5.6,88.3,101.12
2020,1,3,14,581.05,588.7,0.66,51.48,0.0,70.26,28.79,5.41,88.5,101.05
2020,1,3,15,389.23,393.8,0.61,63.1,0.0,70.54,28.78,5.3,88.5,101.04
2020,1,3,16,173.68,175.52,0.5,75.75,0.0,71.62,28.67,5.33,88.8,101.07
2020,1,3,17,13.98,13.98,0.26,87.77,0.0,73.72,28.47,5.45,89.4,101.12
2020,1,3,18,0.0,0.0,-999.0,90.0,0.0,75.74,28.29,5.71,89.5,101.18
2020,1,3,19,0.0,0.0,-999.0,90.0,0.0,77.38,28.12,5.88,88.6,101.25
2020,1,3,20,0.0,0.0,-999.0,90.0,0.0,78.48,27.97,5.75,86.3,101.31
2020,1,3,21,0.0,0.0,-999.0,90.0,0.0,78.95,27.87,5.41,83.3,101.32
2020,1,3,22,0.0,0.0,-999.0,90.0,0.0,79.1,27.79,4.98,79.5,101.31
2020,1,3,23,0.0,0.0,-999.0,90.0,0.02,79.19,27.69,4.6,75.4,101.28
2020,1,4,0,0.0,0.0,-999.0,90.0,0.06,79.39,27.58,4.3,71.0,101.21
2020,1,4,1,0.0,0.0,-999.0,90.0,0.39,79.75,27.46,4.11,66.5,101.12
2020,1,4,2,0.0,0.0,-999.0,90.0,0.41,80.21,27.35,3.97,63.4,101.05
2020,1,4,3,0.0,0.0,-999.0,90.0,0.25,80.7,27.27,3.96,64.0,101.02
2020,1,4,4,0.0,0.0,-999.0,90.0,0.11,80.89,27.24,3.99,66.8,101.04
2020,1,4,5,0.0,0.0,-999.0,90.0,0.05,80.91,27.23,4.02,69.0,101.11
