YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,5.48,91.13,13.6,1.03,79.9,98.56
2020,1,1,1,0.0,0.0,-999.0,90.0,2.99,91.41,13.34,1.24,82.6,98.5
2020,1,1,2,0.0,0.0,-999.0,90.0,0.62,90.86,13.06,1.7,83.3,98.45
2020,1,1,3,0.0,0.0,-999.0,90.0,0.26,91.59,12.6,1.98,83.6,98.43
2020,1,1,4,0.0,0.0,-999.0,90.0,0.05,92.75,12.2,2.15,86.8,98.47
2020,1,1,5,0.0,0.0,-999.0,90.0,0.06,93.55,11.92,2.36,90.5,98.57
2020,1,1,6,10.73,19.38,0.13,86.6,0.11,94.87,11.65,2.23,94.6,98.67
2020,1,1,7,81.65,133.32,0.22,74.92,0.11,91.34,12.75,2.32,98.7,98.79
2020,1,1,8,157.0,278.95,0.25,63.83,0.99,85.03,14.38,1.68,98.9,98.91
2020,1,1,9,237.85,414.9,0.29,54.4,0.27,79.37,15.92,1.69,92.4,98.93
2020,1,1,10,355.65,508.9,0.38,47.63,0.21,73.06,17.47,1.92,91.2,98.87
2020,1,1,11,428.88,592.03,0.43,44.77,0.23,67.81,18.96,1.95,93.8,98.75
2020,1,1,12,416.4,558.42,0.43,46.54,0.14,63.85,20.33,1.85,98.4,98.63
2020,1,1,13,370.92,459.2,0.43,52.47,0.01,61.31,21.29,1.7,103.6,98.55
2020,1,1,14,264.5,319.12,0.39,61.36,0.0,61.21,21.49,1.63,95.6,98.51
2020,1,1,15,138.45,157.0,0.32,72.13,0.0,65.69,20.79,1.56,76.3,98.52
2020,1,1,16,30.83,33.25,0.21,84.03,0.0,82.66,18.04,1.11,58.6,98.56
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,86.88,15.88,1.6,56.2,98.63
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,87.04,15.41,2.17,58.0,98.73
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,88.09,14.88,2.51,58.8,98.81
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,90.33,14.22,2.41,58.8,98.86
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,92.46,13.58,2.16,59.8,98.88
2020,1,1,22,0.0,0.0,-999.0,90.0,0.01,93.98,12.99,1.91,62.5,98.87
2020,1,1,23,0.0,0.0,-999.0,90.0,0.13,94.77,12.46,1.7,66.4,98.84
2020,1,2,0,0.0,0.0,-999.0,90.0,0.6,95.23,11.99,1.59,71.3,98.78
2020,1,2,1,0.0,0.0,-999.0,90.0,0.7,95.63,11.61,1.65,78.1,98.71
2020,1,2,2,0.0,0.0,-999.0,90.0,0.85,96.18,11.29,1.92,85.5,98.62
2020,1,2,3,0.0,0.0,-999.0,90.0,2.07,97.42,10.92,2.24,94.4,98.55
2020,1,2,4,0.0,0.0,-999.0,90.0,18.45,99.7,10.35,1.92,102.3,98.56
2020,1,2,5,0.0,0.0,-999.0,90.0,31.95,100.0,9.73,1.01,90.6,98.67
2020,1,2,6,11.02,18.15,0.13,86.64,33.73,98.5,10.25,1.53,52.2,98.82
2020,1,2,7,91.82,136.6,0.25,74.97,13.91,91.57,12.06,2.69,45.1,98.92
2020,1,2,8,188.68,308.92,0.3,63.86,0.59,83.35,14.45,3.03,57.3,98.96
2020,1,2,9,186.18,476.8,0.23,54.4,1.7,74.67,17.03,3.6,68.3,98.91
2020,1,2,10,269.1,595.35,0.28,47.6,4.36,67.14,19.44,3.88,78.3,98.76
2020,1,2,11,144.8,609.38,0.14,44.69,8.01,66.07,20.41,2.83,51.3,98.72
2020,1,2,12,61.92,584.25,0.06,46.43,7.68,74.77,18.56,3.38,24.7,98.69
2020,1,2,13,70.97,490.77,0.08,52.34,7.58,80.75,17.28,4.15,31.4,98.63
2020,1,2,14,85.43,344.73,0.13,61.23,6.89,81.27,17.09,4.53,46.6,98.56
2020,1,2,15,44.4,175.1,0.1,71.99,5.8,82.99,16.63,4.28,57.2,98.53
2020,1,2,16,5.1,39.0,0.03,83.9,5.58,88.77,15.61,3.14,60.4,98.55
2020,1,2,17,0.0,0.0,-999.0,90.0,5.46,93.71,14.89,2.16,55.4,98.64
2020,1,2,18,0.0,0.0,-999.0,90.0,4.6,94.95,14.67,1.97,48.7,98.74
2020,1,2,19,0.0,0.0,-999.0,90.0,4.12,95.43,14.54,1.84,45.9,98.8
2020,1,2,20,0.0,0.0,-999.0,90.0,4.48,95.56,14.46,1.79,46.6,98.81
2020,1,2,21,0.0,0.0,-999.0,90.0,4.98,95.57,14.39,2.14,53.2,98.77
2020,1,2,22,0.0,0.0,-999.0,90.0,4.52,95.8,14.29,2.62,62.9,98.66
2020,1,2,23,0.0,0.0,-999.0,90.0,2.87,96.06,14.21,2.56,70.4,98.51
