YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,78.45,8.3,0.79,100.9,94.9
2020,1,1,1,0.0,0.0,-999.0,90.0,0.22,79.7,7.93,0.8,95.7,94.86
2020,1,1,2,0.0,0.0,-999.0,90.0,0.22,80.84,7.61,0.85,90.0,94.81
2020,1,1,3,0.0,0.0,-999.0,90.0,0.23,81.93,7.33,0.88,88.7,94.78
2020,1,1,4,0.0,0.0,-999.0,90.0,0.01,82.1,7.22,0.84,94.1,94.78
2020,1,1,5,0.0,0.0,-999.0,90.0,0.07,80.03,7.55,0.76,106.1,94.83
2020,1,1,6,0.0,0.0,-999.0,90.0,0.27,78.17,7.91,0.65,125.6,94.94
2020,1,1,7,15.12,50.38,0.12,84.64,0.96,78.12,8.64,0.6,143.1,95.04
2020,1,1,8,58.08,236.62,0.14,73.0,2.95,74.54,11.13,0.84,143.7,95.13
2020,1,1,9,93.07,423.67,0.14,62.52,33.41,68.86,13.05,1.12,124.4,95.21
2020,1,1,10,113.62,570.92,0.14,53.96,11.91,59.81,15.81,1.64,99.1,95.22
2020,1,1,11,102.0,659.9,0.11,48.35,1.75,54.42,17.37,1.94,87.9,95.15
2020,1,1,12,141.02,598.67,0.15,46.78,0.18,51.61,18.28,2.21,84.3,95.03
2020,1,1,13,95.62,557.22,0.1,49.62,0.33,50.1,18.78,2.27,83.9,94.92
2020,1,1,14,70.03,453.48,0.09,56.21,5.3,51.0,18.73,2.01,88.9,94.86
2020,1,1,15,58.08,301.38,0.1,65.42,6.36,55.18,18.03,1.5,93.4,94.85
2020,1,1,16,41.83,132.6,0.13,76.3,4.52,67.45,16.75,0.86,84.0,94.87
2020,1,1,17,6.4,14.48,0.1,87.44,1.24,72.58,14.92,0.69,44.4,94.93
2020,1,1,18,0.0,0.0,-999.0,90.0,0.1,76.31,13.76,0.89,8.4,95.04
2020,1,1,19,0.0,0.0,-999.0,90.0,0.11,84.69,12.73,1.17,358.5,95.14
2020,1,1,20,0.0,0.0,-999.0,90.0,0.11,87.62,11.98,1.48,3.1,95.2
2020,1,1,21,0.0,0.0,-999.0,90.0,0.19,90.92,11.2,1.43,10.1,95.22
2020,1,1,22,0.0,0.0,-999.0,90.0,0.25,93.83,10.65,1.19,18.6,95.22
2020,1,1,23,0.0,0.0,-999.0,90.0,0.24,96.05,10.22,0.94,28.5,95.19
2020,1,2,0,0.0,0.0,-999.0,90.0,0.36,96.82,9.98,0.78,38.2,95.16
2020,1,2,1,0.0,0.0,-999.0,90.0,0.46,96.09,10.03,0.7,46.7,95.12
2020,1,2,2,0.0,0.0,-999.0,90.0,0.8,94.71,10.18,0.68,52.1,95.06
2020,1,2,3,0.0,0.0,-999.0,90.0,0.83,94.0,10.13,0.72,59.2,95.01
2020,1,2,4,0.0,0.0,-999.0,90.0,0.85,94.69,9.8,0.8,71.1,94.97
2020,1,2,5,0.0,0.0,-999.0,90.0,0.75,97.55,9.0,0.96,83.4,94.97
2020,1,2,6,0.0,0.0,-999.0,90.0,0.67,100.0,8.18,1.16,93.5,94.99
2020,1,2,7,25.12,28.77,0.19,84.69,0.58,98.64,9.03,1.16,102.0,95.06
2020,1,2,8,115.5,143.55,0.28,73.04,0.12,87.94,12.27,1.6,111.6,95.27
2020,1,2,9,226.32,290.67,0.35,62.54,0.0,85.12,13.53,2.21,115.2,95.31
2020,1,2,10,321.05,413.73,0.39,53.95,0.0,81.36,14.99,2.5,120.8,95.33
2020,1,2,11,283.38,505.25,0.3,48.31,0.0,74.04,16.77,2.78,121.5,95.24
2020,1,2,12,288.95,607.97,0.3,46.69,0.0,68.38,17.99,2.63,122.4,95.11
2020,1,2,13,114.43,567.25,0.13,49.5,0.08,66.37,18.49,2.31,106.1,94.95
2020,1,2,14,100.28,464.55,0.13,56.07,1.1,65.5,18.9,1.84,116.4,94.92
2020,1,2,15,47.47,310.17,0.08,65.28,3.94,73.13,17.74,0.94,130.7,94.94
2020,1,2,16,23.7,137.65,0.07,76.16,9.23,85.86,16.2,0.58,109.1,94.93
2020,1,2,17,3.8,15.12,0.06,87.35,13.53,89.77,14.54,0.73,114.1,94.91
2020,1,2,18,0.0,0.0,-999.0,90.0,16.58,90.05,13.99,0.75,115.2,94.96
2020,1,2,19,0.0,0.0,-999.0,90.0,19.52,90.47,13.78,0.74,105.7,95.0
2020,1,2,20,0.0,0.0,-999.0,90.0,19.79,92.67,13.28,0.73,102.7,95.0
2020,1,2,21,0.0,0.0,-999.0,90.0,23.29,92.72,13.28,0.56,119.7,95.05
2020,1,2,22,0.0,0.0,-999.0,90.0,26.68,92.91,13.22,0.41,144.0,95.08
2020,1,2,23,0.0,0.0,-999.0,90.0,21.34,95.81,12.68,0.58,129.4,95.05
2020,1,3,0,0.0,0.0,-999.0,90.0,11.12,98.05,12.22,0.7,116.2,94.99
2020,1,3,1,0.0,0.0,-999.0,90.0,10.92,99.18,11.97,0.69,102.6,94.92
2020,1,3,2,0.0,0.0,-999.0,90.0,25.01,100.0,11.74,0.79,86.4,94.85
2020,1,3,3,0.0,0.0,-999.0,90.0,25.82,100.0,11.86,1.5,77.7,94.73
2020,1,3,4,0.0,0.0,-999.0,90.0,24.48,99.39,11.95,1.58,80.5,94.69
2020,1,3,5,0.0,0.0,-999.0,90.0,25.28,98.89,11.57,0.68,81.5,94.86
2020,1,3,6,0.0,0.0,-999.0,90.0,19.43,100.0,10.9,0.8,87.1,94.93
2020,1,3,7,19.77,33.83,0.15,84.74,11.15,99.37,11.39,1.33,103.9,94.93
2020,1,3,8,96.57,174.38,0.24,73.07,3.99,95.27,13.21,2.53,112.8,94.99
2020,1,3,9,203.5,345.38,0.31,62.55,1.98,87.97,14.8,2.7,116.2,95.06
2020,1,3,10,264.73,479.12,0.32,53.93,0.44,77.63,16.41,2.58,118.8,95.05
2020,1,3,11,282.48,573.05,0.3,48.25,0.88,70.04,17.9,1.94,123.2,94.94
2020,1,3,12,365.42,670.28,0.38,46.59,1.49,65.17,19.06,0.93,138.1,94.8
2020,1,3,13,433.55,623.5,0.47,49.38,1.57,61.77,19.85,0.44,230.5,94.67
2020,1,3,14,335.65,508.25,0.43,55.94,1.64,60.54,20.16,0.68,264.1,94.59
2020,1,3,15,215.35,340.9,0.36,65.14,1.84,61.58,20.01,0.42,291.0,94.52
2020,1,3,16,102.07,156.7,0.3,76.02,1.21,69.19,19.17,0.22,26.6,94.51
2020,1,3,17,12.88,17.73,0.19,87.26,1.33,81.25,16.88,0.38,62.1,94.53
2020,1,3,18,0.0,0.0,-999.0,90.0,1.44,82.55,15.55,0.54,85.8,94.58
2020,1,3,19,0.0,0.0,-999.0,90.0,1.49,83.89,15.05,0.64,110.1,94.64
2020,1,3,20,0.0,0.0,-999.0,90.0,1.31,86.27,14.41,0.79,131.9,94.68
