YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,91.87,7.87,1.06,49.2,88.32
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,90.2,8.09,1.03,52.5,88.28
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,89.66,8.32,1.0,57.3,88.24
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,91.19,8.17,1.01,60.9,88.21
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,93.39,7.76,1.07,64.6,88.22
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,94.42,7.59,1.08,66.0,88.29
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,93.74,7.9,1.02,64.9,88.39
2020,1,1,7,68.25,109.12,0.29,80.47,0.02,91.06,10.04,0.74,61.7,88.5
2020,1,1,8,158.65,291.95,0.33,69.89,0.1,79.03,12.92,1.49,65.5,88.6
2020,1,1,9,255.05,464.67,0.37,60.35,0.16,69.91,15.17,1.73,80.7,88.68
2020,1,1,10,430.73,589.88,0.51,53.1,0.32,64.98,16.6,1.87,93.4,88.66
2020,1,1,11,461.55,632.65,0.5,49.16,0.55,63.94,17.16,1.83,102.6,88.57
2020,1,1,12,531.15,629.55,0.58,49.36,0.93,64.32,17.36,1.75,111.4,88.44
2020,1,1,13,484.23,560.4,0.58,53.64,0.39,64.9,17.41,1.68,120.1,88.35
2020,1,1,14,358.58,431.67,0.53,61.14,0.17,66.5,17.05,1.54,125.2,88.3
2020,1,1,15,215.62,259.05,0.47,70.85,0.18,71.3,16.19,1.3,124.3,88.29
2020,1,1,16,72.35,82.12,0.36,81.79,0.19,86.42,14.34,0.65,116.6,88.32
2020,1,1,17,0.0,0.0,-999.0,90.0,0.22,90.59,12.11,0.76,104.4,88.37
2020,1,1,18,0.0,0.0,-999.0,90.0,0.43,94.43,11.09,0.78,95.9,88.43
2020,1,1,19,0.0,0.0,-999.0,90.0,0.96,98.06,10.33,0.79,92.2,88.5
2020,1,1,20,0.0,0.0,-999.0,90.0,0.59,99.42,9.91,0.81,87.2,88.55
2020,1,1,21,0.0,0.0,-999.0,90.0,0.31,99.84,9.8,0.8,82.8,88.59
2020,1,1,22,0.0,0.0,-999.0,90.0,0.17,99.93,9.89,0.8,81.4,88.58
