YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,45.07,5.77,1.27,111.3,91.68
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,43.15,5.88,1.21,107.4,91.69
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,42.04,5.88,1.18,95.4,91.68
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,40.64,6.09,1.17,89.0,91.66
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,39.55,6.26,1.15,91.0,91.67
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,39.8,6.12,1.2,97.2,91.71
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,41.56,5.73,1.29,102.5,91.78
2020,1,1,7,56.28,95.45,0.34,83.25,0.0,46.46,6.01,1.22,107.1,91.86
2020,1,1,8,200.38,296.02,0.49,73.14,0.0,51.28,9.32,1.14,113.2,91.95
2020,1,1,9,350.8,471.17,0.58,64.53,0.0,35.52,12.64,2.42,127.6,92.05
2020,1,1,10,457.48,594.83,0.62,58.2,0.0,33.46,14.37,3.11,138.5,92.07
2020,1,1,11,536.35,634.2,0.66,54.98,0.0,32.39,15.4,3.4,145.2,92.03
2020,1,1,12,521.9,625.6,0.65,55.39,0.0,32.21,15.87,3.45,149.9,91.96
2020,1,1,13,462.25,548.8,0.64,59.38,0.0,32.83,15.88,3.33,153.4,91.9
2020,1,1,14,306.15,412.2,0.54,66.29,0.0,34.57,15.37,2.88,157.1,91.86
2020,1,1,15,167.15,230.55,0.47,75.31,0.0,43.85,13.96,1.59,166.9,91.85
2020,1,1,16,33.28,45.22,0.31,85.68,0.0,55.56,11.17,0.68,191.8,91.88
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,49.2,10.75,0.11,158.2,91.93
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,54.94,9.29,0.84,49.3,92.02
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,60.85,7.69,1.16,60.6,92.08
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,62.74,6.63,1.34,72.2,92.1
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,61.94,6.1,1.47,81.0,92.09
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,60.74,5.86,1.55,84.8,92.07
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,59.29,5.7,1.56,85.2,92.01
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,57.56,5.68,1.52,83.6,91.95
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,54.69,5.96,1.47,81.0,91.91
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,50.32,6.74,1.39,78.4,91.88
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,47.66,7.31,1.27,77.3,91.87
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,47.68,7.57,1.19,75.8,91.89
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,49.04,7.51,1.16,74.5,91.95
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,51.19,7.23,1.14,78.9,92.02
2020,1,2,7,64.75,81.45,0.39,83.29,0.0,52.59,7.88,1.01,86.6,92.08
2020,1,2,8,220.27,269.48,0.54,73.16,0.0,57.18,9.89,0.77,103.5,92.14
2020,1,2,9,366.92,438.75,0.61,64.52,0.0,46.24,12.28,1.41,129.5,92.19
2020,1,2,10,477.48,557.9,0.64,58.17,0.02,45.83,13.62,1.78,154.4,92.16
2020,1,2,11,507.5,561.85,0.63,54.91,0.06,46.56,14.55,2.0,158.6,92.06
2020,1,2,12,442.33,547.38,0.55,55.29,0.15,47.91,14.98,1.9,161.9,91.95
2020,1,2,13,330.2,476.08,0.46,59.26,0.24,49.78,15.0,1.53,168.3,91.86
2020,1,2,14,243.62,348.42,0.43,66.16,0.15,51.3,14.9,1.0,176.0,91.84
2020,1,2,15,132.62,184.27,0.37,75.17,0.04,55.01,14.33,0.41,197.1,91.82
2020,1,2,16,27.0,35.15,0.25,85.56,0.02,62.64,12.56,0.46,288.8,91.82
2020,1,2,17,0.0,0.0,-999.0,90.0,0.01,66.84,10.4,0.82,323.4,91.85
