YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,60.86,-7.72,1.33,96.1,74.3
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,58.06,-7.54,1.31,95.3,74.29
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,55.37,-7.22,1.28,95.8,74.28
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,52.33,-6.95,1.28,96.7,74.26
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,50.18,-6.78,1.29,97.6,74.26
2020,1,1,5,0.0,0.0,-999.0,90.0,0.0,48.26,-6.73,1.32,96.1,74.29
2020,1,1,6,0.0,0.0,-999.0,90.0,0.0,45.77,-6.79,1.34,94.3,74.34
2020,1,1,7,23.12,36.47,0.29,86.76,0.0,44.61,-6.84,1.36,92.9,74.4
2020,1,1,8,161.65,217.12,0.51,77.0,0.0,60.84,-5.79,1.21,93.8,74.47
2020,1,1,9,329.15,393.4,0.64,68.43,0.0,52.09,-3.24,1.35,103.7,74.55
2020,1,1,10,450.88,524.7,0.68,61.95,0.0,48.4,-0.4,1.98,136.6,74.59
2020,1,1,11,481.6,594.95,0.65,58.29,0.0,50.21,0.56,2.49,159.1,74.58
2020,1,1,12,506.58,601.45,0.68,57.98,0.0,53.47,0.73,2.67,166.1,74.55
2020,1,1,13,467.8,539.12,0.69,61.08,0.0,57.01,0.45,2.59,165.2,74.53
2020,1,1,14,353.9,416.75,0.65,67.12,0.0,61.11,-0.13,2.2,162.3,74.52
2020,1,1,15,193.82,247.18,0.55,75.37,0.0,75.5,-1.18,1.11,153.2,74.53
2020,1,1,16,39.75,60.33,0.34,85.17,0.0,71.8,-2.78,0.8,108.2,74.55
2020,1,1,17,0.0,0.0,-999.0,90.0,0.0,73.56,-4.85,1.17,80.6,74.59
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,80.16,-6.71,1.41,76.9,74.63
2020,1,1,19,0.0,0.0,-999.0,90.0,0.0,83.98,-8.06,1.54,76.1,74.66
2020,1,1,20,0.0,0.0,-999.0,90.0,0.0,85.38,-8.84,1.6,74.7,74.69
2020,1,1,21,0.0,0.0,-999.0,90.0,0.0,84.81,-9.27,1.61,73.8,74.71
2020,1,1,22,0.0,0.0,-999.0,90.0,0.0,82.44,-9.36,1.62,73.9,74.71
2020,1,1,23,0.0,0.0,-999.0,90.0,0.0,78.07,-9.11,1.6,75.2,74.69
2020,1,2,0,0.0,0.0,-999.0,90.0,0.0,73.1,-8.62,1.57,79.7,74.66
2020,1,2,1,0.0,0.0,-999.0,90.0,0.0,69.9,-8.37,1.55,80.4,74.63
2020,1,2,2,0.0,0.0,-999.0,90.0,0.0,67.52,-8.31,1.55,78.1,74.6
2020,1,2,3,0.0,0.0,-999.0,90.0,0.0,66.7,-8.38,1.56,77.0,74.57
2020,1,2,4,0.0,0.0,-999.0,90.0,0.0,67.3,-8.55,1.59,76.1,74.56
2020,1,2,5,0.0,0.0,-999.0,90.0,0.0,69.19,-8.93,1.63,75.0,74.59
2020,1,2,6,0.0,0.0,-999.0,90.0,0.0,71.03,-9.71,1.7,72.8,74.63
2020,1,2,7,24.45,31.85,0.31,86.79,0.0,75.3,-10.15,1.69,70.6,74.68
2020,1,2,8,143.4,203.15,0.45,77.01,0.0,76.22,-8.17,1.71,69.4,74.72
2020,1,2,9,280.38,374.1,0.54,68.42,0.0,62.48,-4.73,2.16,70.6,74.76
2020,1,2,10,383.55,495.05,0.58,61.92,0.0,56.05,-1.65,2.62,76.8,74.74
2020,1,2,11,440.12,567.3,0.59,58.22,0.0,55.76,0.22,2.08,104.2,74.66
2020,1,2,12,388.6,577.03,0.52,57.89,0.0,57.34,1.05,1.95,143.5,74.58
2020,1,2,13,339.1,513.45,0.5,60.97,0.0,61.17,0.91,1.84,165.5,74.52
2020,1,2,14,245.32,395.15,0.45,66.99,0.0,67.13,0.5,1.41,178.0,74.5
2020,1,2,15,129.57,229.57,0.36,75.23,0.0,69.44,-0.14,0.69,191.6,74.5
2020,1,2,16,29.9,54.58,0.25,85.04,0.0,66.8,-0.86,0.11,201.8,74.52
2020,1,2,17,0.0,0.0,-999.0,90.0,0.0,67.03,-1.92,0.44,53.4,74.55
2020,1,2,18,0.0,0.0,-999.0,90.0,0.0,70.51,-3.06,0.9,54.5,74.58
2020,1,2,19,0.0,0.0,-999.0,90.0,0.0,72.42,-4.16,1.16,59.5,74.6
2020,1,2,20,0.0,0.0,-999.0,90.0,0.0,72.65,-5.13,1.3,65.4,74.61
2020,1,2,21,0.0,0.0,-999.0,90.0,0.0,72.59,-5.92,1.37,70.4,74.6
2020,1,2,22,0.0,0.0,-999.0,90.0,0.0,71.46,-6.54,1.41,74.0,74.58
2020,1,2,23,0.0,0.0,-999.0,90.0,0.0,69.14,-6.96,1.43,75.0,74.55
2020,1,3,0,0.0,0.0,-999.0,90.0,0.0,67.86,-7.29,1.46,74.5,74.52
2020,1,3,1,0.0,0.0,-999.0,90.0,0.0,67.25,-7.63,1.52,75.5,74.48
2020,1,3,2,0.0,0.0,-999.0,90.0,0.0,64.98,-7.9,1.54,75.0,74.42
2020,1,3,3,0.0,0.0,-999.0,90.0,0.0,62.58,-8.17,1.53,72.5,74.37
2020,1,3,4,0.0,0.0,-999.0,90.0,0.0,63.48,-8.7,1.57,71.8,74.33
2020,1,3,5,0.0,0.0,-999.0,90.0,0.0,65.45,-9.27,1.61,71.9,74.32
2020,1,3,6,0.0,0.0,-999.0,90.0,0.0,67.82,-9.82,1.65,73.1,74.33
2020,1,3,7,23.35,32.35,0.3,86.8,0.0,70.56,-10.04,1.66,73.9,74.35
2020,1,3,8,143.0,205.23,0.45,77.02,0.02,75.34,-8.03,1.58,75.0,74.39
2020,1,3,9,285.73,383.25,0.55,68.41,0.06,61.35,-4.57,1.72,80.6,74.42
2020,1,3,10,386.9,515.67,0.58,61.87,0.2,57.26,-1.08,2.11,104.0,74.4
2020,1,3,11,414.88,589.05,0.56,58.15,0.46,60.23,0.06,2.26,148.0,74.33
2020,1,3,12,398.42,597.67,0.53,57.79,0.72,64.35,0.32,2.67,172.7,74.24
2020,1,3,13,332.05,542.28,0.48,60.85,0.92,70.21,0.01,2.61,178.9,74.16
2020,1,3,14,241.7,423.23,0.44,66.85,1.0,80.71,-0.69,2.07,180.0,74.11
2020,1,3,15,131.45,254.52,0.36,75.09,0.98,87.45,-1.66,1.44,173.6,74.08
2020,1,3,16,33.2,65.45,0.27,84.9,0.92,85.7,-2.77,0.94,167.1,74.08
2020,1,3,17,0.0,0.0,-999.0,90.0,0.84,87.13,-3.84,0.97,153.2,74.09
2020,1,3,18,0.0,0.0,-999.0,90.0,0.82,89.16,-4.51,1.06,146.9,74.12
2020,1,3,19,0.0,0.0,-999.0,90.0,0.83,90.22,-5.1,1.12,143.3,74.15
2020,1,3,20,0.0,0.0,-999.0,90.0,0.96,92.01,-5.68,1.2,139.4,74.16
2020,1,3,21,0.0,0.0,-999.0,90.0,1.08,92.88,-5.99,1.24,142.9,74.16
2020,1,3,22,0.0,0.0,-999.0,90.0,1.18,92.94,-6.0,1.23,147.0,74.14
2020,1,3,23,0.0,0.0,-999.0,90.0,1.26,93.47,-6.07,1.23,153.4,74.12
2020,1,4,0,0.0,0.0,-999.0,90.0,1.29,94.15,-6.2,1.24,159.7,74.08
2020,1,4,1,0.0,0.0,-999.0,90.0,1.19,94.0,-6.27,1.21,161.3,74.03
2020,1,4,2,0.0,0.0,-999.0,90.0,1.14,94.01,-6.36,1.2,157.9,73.98
2020,1,4,3,0.0,0.0,-999.0,90.0,1.05,93.62,-6.36,1.16,155.6,73.94
2020,1,4,4,0.0,0.0,-999.0,90.0,0.98,92.9,-6.4,1.15,156.3,73.9
2020,1,4,5,0.0,0.0,-999.0,90.0,0.92,92.8,-6.43,1.13,160.9,73.9
2020,1,4,6,0.0,0.0,-999.0,90.0,0.91,94.08,-6.42,1.1,168.0,73.92
2020,1,4,7,22.42,35.53,0.29,86.82,0.97,97.01,-6.29,1.01,172.6,73.94
2020,1,4,8,122.9,216.6,0.39,77.02,1.28,95.72,-5.29,0.95,186.1,73.98
2020,1,4,9,266.25,395.45,0.51,68.38,1.47,88.26,-3.54,1.73,198.2,74.03
2020,1,4,10,376.15,525.75,0.57,61.82,1.58,82.91,-2.28,3.17,208.0,74.04
2020,1,4,11,422.1,593.53,0.57,58.07,1.83,79.28,-1.82,3.82,213.0,73.99
2020,1,4,12,435.85,597.35,0.58,57.68,1.7,76.85,-1.77,3.83,216.9,73.92
2020,1,4,13,373.17,540.62,0.54,60.72,1.49,76.81,-2.02,3.45,220.7,73.86
2020,1,4,14,307.65,426.73,0.55,66.71,1.14,78.64,-2.34,2.89,224.2,73.84
2020,1,4,15,171.18,255.7,0.47,74.95,0.92,88.81,-3.03,1.8,225.9,73.85
2020,1,4,16,45.03,67.05,0.35,84.76,0.89,92.44,-4.39,0.92,230.3,73.88
2020,1,4,17,0.0,0.0,-999.0,90.0,0.79,92.27,-5.51,1.0,232.3,73.95
2020,1,4,18,0.0,0.0,-999.0,90.0,0.67,92.08,-5.95,1.06,229.2,74.03
2020,1,4,19,0.0,0.0,-999.0,90.0,0.55,92.86,-6.2,1.05,226.9,74.09
2020,1,4,20,0.0,0.0,-999.0,90.0,0.46,93.29,-6.37,0.96,226.7,74.14
2020,1,4,21,0.0,0.0,-999.0,90.0,0.37,93.01,-6.29,0.83,220.6,74.16
2020,1,4,22,0.0,0.0,-999.0,90.0,0.28,93.25,-6.36,0.67,212.7,74.18
2020,1,4,23,0.0,0.0,-999.0,90.0,0.16,94.09,-6.63,0.42,185.4,74.17
2020,1,5,0,0.0,0.0,-999.0,90.0,0.09,95.52,-7.06,0.41,122.2,74.15
2020,1,5,1,0.0,0.0,-999.0,90.0,0.04,96.81,-7.87,0.7,90.0,74.15
2020,1,5,2,0.0,0.0,-999.0,90.0,0.03,98.36,-8.79,0.98,76.4,74.15
2020,1,5,3,0.0,0.0,-999.0,90.0,0.03,97.78,-9.61,1.17,70.5,74.13
2020,1,5,4,0.0,0.0,-999.0,90.0,0.02,93.27,-10.43,1.31,67.5,74.13
2020,1,5,5,0.0,0.0,-999.0,90.0,0.01,90.43,-11.35,1.45,65.0,74.13
2020,1,5,6,0.0,0.0,-999.0,90.0,0.01,87.93,-12.31,1.55,62.3,74.16
2020,1,5,7,23.17,40.38,0.3,86.83,0.01,91.61,-13.41,1.64,61.6,74.2
2020,1,5,8,92.9,230.05,0.29,77.02,0.0,89.38,-12.06,1.8,65.0,74.25
2020,1,5,9,194.15,408.77,0.37,68.36,0.0,68.86,-8.06,2.27,68.9,74.27
2020,1,5,10,273.4,540.47,0.41,61.77,0.0,55.64,-4.3,2.49,75.6,74.26
2020,1,5,11,174.45,616.2,0.23,57.98,0.0,52.85,-2.14,1.58,99.8,74.21
2020,1,5,12,198.15,621.88,0.26,57.56,0.0,46.66,-0.39,1.41,160.2,74.14
2020,1,5,13,226.38,560.6,0.33,60.58,0.02,47.72,-0.06,1.78,180.3,74.09
2020,1,5,14,158.48,440.48,0.28,66.57,0.09,53.57,-0.56,1.59,172.8,74.06
2020,1,5,15,78.93,271.12,0.21,74.8,0.2,69.9,-1.52,0.82,159.4,74.05
2020,1,5,16,28.25,75.82,0.21,84.61,0.23,65.06,-2.71,0.68,147.0,74.06
2020,1,5,17,0.0,0.0,-999.0,90.0,0.34,60.72,-3.65,0.75,133.9,74.1
2020,1,5,18,0.0,0.0,-999.0,90.0,0.98,66.83,-4.87,1.0,109.9,74.16
2020,1,5,19,0.0,0.0,-999.0,90.0,1.29,74.75,-6.33,1.27,106.0,74.16
2020,1,5,20,0.0,0.0,-999.0,90.0,1.22,73.38,-6.43,1.28,108.7,74.15
2020,1,5,21,0.0,0.0,-999.0,90.0,1.03,68.66,-5.76,1.12,115.4,74.18
2020,1,5,22,0.0,0.0,-999.0,90.0,0.83,73.51,-5.62,1.09,116.8,74.23
2020,1,5,23,0.0,0.0,-999.0,90.0,1.08,81.19,-5.97,1.15,114.6,74.19
2020,1,6,0,0.0,0.0,-999.0,90.0,1.48,79.32,-5.34,0.98,109.0,74.17
2020,1,6,1,0.0,0.0,-999.0,90.0,1.31,85.29,-5.28,0.91,95.0,74.18
2020,1,6,2,0.0,0.0,-999.0,90.0,1.0,88.39,-5.62,1.0,92.9,74.14
2020,1,6,3,0.0,0.0,-999.0,90.0,0.94,89.62,-5.62,0.99,97.0,74.13
2020,1,6,4,0.0,0.0,-999.0,90.0,0.8,92.03,-5.81,1.06,98.1,74.11
2020,1,6,5,0.0,0.0,-999.0,90.0,0.63,92.63,-5.85,1.14,97.1,74.08
2020,1,6,6,0.0,0.0,-999.0,90.0,0.49,91.1,-5.62,1.13,97.6,74.06
2020,1,6,7,15.43,38.33,0.2,86.83,0.53,88.39,-5.19,1.1,102.6,74.05
2020,1,6,8,47.12,222.57,0.15,77.01,3.53,90.04,-3.94,0.9,110.9,74.1
2020,1,6,9,98.43,399.23,0.19,68.32,6.76,81.68,-2.12,1.16,117.2,74.13
2020,1,6,10,128.88,530.15,0.19,61.7,9.16,79.24,-0.62,1.93,138.8,74.13
2020,1,6,11,289.88,602.47,0.39,57.89,15.02,79.54,0.09,2.46,156.8,74.06
2020,1,6,12,120.53,610.62,0.16,57.44,21.08,83.07,0.1,2.59,163.7,74.0
2020,1,6,13,137.15,553.72,0.2,60.44,18.3,82.58,0.2,2.68,163.3,73.93
2020,1,6,14,124.3,436.42,0.22,66.42,23.8,89.42,-0.38,2.39,159.9,73.9
2020,1,6,15,84.55,269.95,0.23,74.65,21.72,90.63,-1.15,2.04,158.1,73.9
