YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,SZA,PRECTOTCORR,RH2M,T2M,WS2M,WD2M,PS
2020,1,1,0,0.0,0.0,-999.0,90.0,0.0,91.67,24.49,2.09,76.4,100.18
2020,1,1,1,0.0,0.0,-999.0,90.0,0.0,93.17,24.15,2.2,75.0,100.1
2020,1,1,2,0.0,0.0,-999.0,90.0,0.0,93.99,23.89,2.22,73.0,100.03
2020,1,1,3,0.0,0.0,-999.0,90.0,0.0,94.7,23.65,2.19,70.6,100.02
2020,1,1,4,0.0,0.0,-999.0,90.0,0.0,95.28,23.44,2.19,70.0,100.05
2020,1,1,5,0.0,0.0,-999.0,90.0,0.15,95.61,23.28,2.18,70.2,100.11
2020,1,1,6,29.1,31.0,0.27,85.62,0.08,93.5,23.8,2.33,69.2,100.22
2020,1,1,7,194.18,208.15,0.46,72.55,0.04,87.11,25.21,3.06,68.3,100.33
2020,1,1,8,415.85,425.0,0.59,59.77,0.02,80.91,26.46,3.4,71.1,100.41
2020,1,1,9,617.42,620.53,0.66,48.02,0.01,76.06,27.55,3.28,74.1,100.4
2020,1,1,10,757.67,761.72,0.69,38.3,0.0,71.89,28.54,2.87,75.0,100.35
2020,1,1,11,854.05,858.08,0.72,32.51,0.0,69.13,29.3,2.28,75.3,100.27
2020,1,1,12,837.33,856.9,0.71,32.81,0.0,67.17,29.81,1.62,76.0,100.17
2020,1,1,13,771.42,781.78,0.71,39.06,0.0,65.88,30.08,0.86,81.3,100.06
2020,1,1,14,626.28,639.6,0.68,49.03,0.0,65.44,30.07,0.25,118.6,100.0
2020,1,1,15,419.55,444.05,0.61,60.91,0.0,65.67,29.87,0.42,205.3,100.0
2020,1,1,16,204.62,218.9,0.52,73.76,0.0,68.29,29.47,0.79,209.5,100.03
2020,1,1,17,26.12,27.35,0.31,86.56,0.0,72.57,28.65,0.93,207.4,100.08
2020,1,1,18,0.0,0.0,-999.0,90.0,0.0,76.71,27.86,1.06,208.0,100.17
