city,Rainbow_Events,Avg_Score,Max_Score,Avg_Precipitation,Avg_Solar_Alt,Avg_Humidity,Avg_Temp
Port_Blair,3023,8.42,10,2.98,20.95,77.89,28.61
Kavaratti,2968,8.0,8,2.35,20.51,78.04,28.56
Puducherry,2825,8.12,10,2.32,22.47,70.77,29.41
Thiruvananthapuram,2518,8.0,8,2.29,18.47,77.33,28.48
Gangtok,1988,8.32,10,2.95,24.25,73.07,12.41
Imphal,1818,8.51,10,3.86,24.06,71.2,24.68
Aizwal,1785,8.42,10,4.43,23.11,78.8,26.52
Chennai,1759,8.21,10,2.65,22.45,71.0,29.11
Agartala,1642,8.41,10,4.06,23.75,76.93,28.87
Itanagar,1628,8.43,10,3.59,25.65,72.99,24.39
Shillong,1614,8.47,10,3.68,23.44,74.66,22.35
Bhubaneswar,1495,8.24,10,3.11,24.05,75.48,28.94
Panaji,1463,8.04,10,2.68,21.69,76.57,28.73
Kolkata,1462,8.26,10,3.36,23.72,75.57,29.49
Amravati,1408,8.19,10,2.17,21.0,71.41,29.84
Ranchi,1238,8.2,10,3.08,24.08,76.13,26.51
Kohima,1237,8.84,10,3.27,29.07,69.73,20.86
Srinagar,1221,8.37,10,2.41,28.06,73.21,2.4
Dispur,1166,8.62,10,2.81,26.59,70.6,26.52
Raipur,1141,8.15,10,2.74,21.63,73.22,28.32
Patna,1140,8.2,10,2.61,24.73,74.15,28.5
Bengaluru,1139,8.11,10,2.12,21.89,67.81,26.01
Hyderabad,1126,8.12,10,2.01,20.88,70.12,27.92
Leh,1073,8.57,10,2.08,28.89,79.75,-14.08
Daman,1057,8.06,10,3.15,23.64,74.7,29.01
Dehradun,1035,8.22,10,3.04,24.87,73.11,19.73
Mumbai,1022,8.1,10,2.94,24.09,74.86,28.57
Shimla,968,8.2,10,2.93,25.34,70.64,22.17
Lucknow,900,8.14,10,2.7,24.0,73.37,27.48
Bhopal,869,8.08,10,2.3,23.27,72.96,27.11
Chandigarh,836,8.19,10,2.95,25.71,71.28,24.04
New_Delhi,649,8.13,10,2.34,26.42,73.31,24.96
Gandhinagar,621,8.03,10,2.64,23.46,70.81,30.18
Jaipur,576,8.12,10,2.6,26.51,72.62,25.34
